cell_line	agent	perturbation	replicate	time	concentration	cell_count	cell_count__ctrl	cell_count__time0	GRvalue
MCF10A	drugA	0	1	72	1	301	2350.75	299.5	0.00168210570556
MCF10A	drugA	0	1	72	3.162	286	2350.75	299.5	-0.015396711461
MCF10A	drugA	0	1	72	10	258	2350.75	299.5	-0.0489402210917
MCF10A	drugB	0	1	72	0.001	2378	2350.75	299.5	1.00776973678
MCF10A	drugB	0	1	72	0.003162	2525	2350.75	299.5	1.04869559377
MCF10A	drugB	0	1	72	0.01	2330	2350.75	299.5	0.994043418498
MCF10A	drugB	0	1	72	0.03162	2378	2350.75	299.5	1.00776973678
MCF10A	drugB	0	1	72	0.1	2394	2350.75	299.5	1.01230428651
MCF10A	drugB	0	1	72	0.3162	1992	2350.75	299.5	0.891628246579
MCF10A	drugB	0	1	72	1	1524	2350.75	299.5	0.72865734782
MCF10A	drugB	0	1	72	3.162	857	2350.75	299.5	0.424305136853
MCF10A	drugB	0	1	72	10	434	2350.75	299.5	0.132907730387
MCF10A	drugC	0	1	72	0.001	2292	2350.75	299.5	0.983043068643
MCF10A	drugC	0	1	72	0.003162	2508	2350.75	299.5	1.04404491017
MCF10A	drugC	0	1	72	0.01	2343	2350.75	299.5	0.997779350341
MCF10A	drugC	0	1	72	0.03162	2407	2350.75	299.5	1.0159738226
MCF10A	drugC	0	1	72	0.1	2445	2350.75	299.5	1.02662531561
MCF10A	drugC	0	1	72	0.3162	2426	2350.75	299.5	1.02131340836
MCF10A	drugC	0	1	72	1	1277	2350.75	299.5	0.628823456294
MCF10A	drugC	0	1	72	3.162	587	2350.75	299.5	0.254051013193
MCF10A	drugC	0	1	72	10	519	2350.75	299.5	0.203169147239
MCF10A	drugD	0	1	72	0.001	2264	2350.75	299.5	0.974859863611
MCF10A	drugD	0	1	72	0.003162	2409	2350.75	299.5	1.01653719845
MCF10A	drugD	0	1	72	0.01	2458	2350.75	299.5	1.03024401503
MCF10A	drugD	0	1	72	0.03162	2260	2350.75	299.5	0.973685361664
MCF10A	drugD	0	1	72	0.1	1269	2350.75	299.5	0.625383466543
MCF10A	drugD	0	1	72	0.3162	1002	2350.75	299.5	0.501209868104
MCF10A	drugD	0	1	72	1	862	2350.75	299.5	0.427095319011
MCF10A	drugD	0	1	72	3.162	837	2350.75	299.5	0.413035107877
MCF10A	drugD	0	1	72	10	935	2350.75	299.5	0.466661852197
MCF10A	drugA	0	2	72	0.001	2396	2408.5	299.5	0.996542672726
MCF10A	drugA	0	2	72	0.003162	2162	2408.5	299.5	0.929472930592
MCF10A	drugA	0	2	72	0.01	1799	2408.5	299.5	0.815084846757
MCF10A	drugA	0	2	72	0.03162	1329	2408.5	299.5	0.641235696319
MCF10A	drugA	0	2	72	0.1	713	2408.5	299.5	0.334291791973
MCF10A	drugA	0	2	72	0.3162	397	2408.5	299.5	0.0982369668015
MCF10A	drugA	0	2	72	1	274	2408.5	299.5	-0.029154623007
MCF10A	drugA	0	2	72	3.162	247	2408.5	299.5	-0.0620716069596
MCF10A	drugA	0	2	72	10	235	2408.5	299.5	-0.0774753442051
MCF10A	drugB	0	2	72	0.001	2381	2408.5	299.5	0.992377950578
MCF10A	drugB	0	2	72	0.003162	2521	2408.5	299.5	1.03058994502
MCF10A	drugB	0	2	72	0.01	2350	2408.5	299.5	0.9837150335
MCF10A	drugB	0	2	72	0.03162	2592	2408.5	299.5	1.04942916574
MCF10A	drugB	0	2	72	0.1	2127	2408.5	299.5	0.91903039918
MCF10A	drugB	0	2	72	0.3162	2037	2408.5	299.5	0.891640730934
MCF10A	drugB	0	2	72	1	1492	2408.5	299.5	0.705599645681
MCF10A	drugB	0	2	72	3.162	852	2408.5	299.5	0.415695370148
MCF10A	drugB	0	2	72	10	435	2408.5	299.5	0.132129075564
MCF10A	drugC	0	2	72	0.001	2329	2408.5	299.5	0.977803177449
MCF10A	drugC	0	2	72	0.003162	2579	2408.5	299.5	1.0460057235
MCF10A	drugC	0	2	72	0.01	2391	2408.5	299.5	0.995156370699
MCF10A	drugC	0	2	72	0.03162	2364	2408.5	299.5	0.987636705776
MCF10A	drugC	0	2	72	0.1	2560	2408.5	299.5	1.04098144888
MCF10A	drugC	0	2	72	0.3162	2422	2408.5	299.5	1.00372048698
MCF10A	drugC	0	2	72	1	1442	2408.5	299.5	0.686377865417
MCF10A	drugC	0	2	72	3.162	620	2408.5	299.5	0.273704559466
MCF10A	drugC	0	2	72	10	520	2408.5	299.5	0.201349795961
MCF10A	drugD	0	2	72	0.001	2447	2408.5	299.5	1.01057388881
MCF10A	drugD	0	2	72	0.003162	2350	2408.5	299.5	0.9837150335
MCF10A	drugD	0	2	72	0.01	2209	2408.5	299.5	0.943319734353
MCF10A	drugD	0	2	72	0.03162	2113	2408.5	299.5	0.914821270143
MCF10A	drugD	0	2	72	0.1	1322	2408.5	299.5	0.638356293815
MCF10A	drugD	0	2	72	0.3162	997	2408.5	299.5	0.491642935241
MCF10A	drugD	0	2	72	1	923	2408.5	299.5	0.453878979159
MCF10A	drugD	0	2	72	3.162	926	2408.5	299.5	0.455448512856
MCF10A	drugD	0	2	72	10	959	2408.5	299.5	0.472493547262
MCF10A	drugA	1	1	48	0.001	717	811.75	302.5	0.833071194768
MCF10A	drugA	1	1	48	0.003162	730	811.75	302.5	0.856346640041
MCF10A	drugA	1	1	48	0.01	639	811.75	302.5	0.690661250091
MCF10A	drugA	1	1	48	0.03162	555	811.75	302.5	0.531357425935
MCF10A	drugA	1	1	48	0.1	364	811.75	302.5	0.138780040605
MCF10A	drugA	1	1	48	0.3162	310	811.75	302.5	0.0173462672707
MCF10A	drugA	1	1	48	1	308	811.75	302.5	0.0127329355669
MCF10A	drugA	1	1	48	3.162	306	811.75	302.5	0.00811067398607
MCF10A	drugA	1	1	48	10	255	811.75	302.5	-0.113033283447
MCF10A	drugB	1	1	48	0.001	725	811.75	302.5	0.847409271928
MCF10A	drugB	1	1	48	0.003162	751	811.75	302.5	0.893686571514
MCF10A	drugB	1	1	48	0.01	794	811.75	302.5	0.969190070755
MCF10A	drugB	1	1	48	0.03162	759	811.75	302.5	0.907829238369
MCF10A	drugB	1	1	48	0.1	805	811.75	302.5	0.9883074235
MCF10A	drugB	1	1	48	0.3162	709	811.75	302.5	0.818685395252
MCF10A	drugB	1	1	48	1	587	811.75	302.5	0.592838172883
MCF10A	drugB	1	1	48	3.162	447	811.75	302.5	0.315467714908
MCF10A	drugB	1	1	48	10	300	811.75	302.5	-0.00581045399448
MCF10A	drugC	1	1	48	0.001	865	811.75	302.5	1.09125169541
MCF10A	drugC	1	1	48	0.003162	740	811.75	302.5	0.874166902371
MCF10A	drugC	1	1	48	0.01	818	811.75	302.5	1.01080066749
MCF10A	drugC	1	1	48	0.03162	725	811.75	302.5	0.847409271928
MCF10A	drugC	1	1	48	0.1	748	811.75	302.5	0.888371519466
MCF10A	drugC	1	1	48	0.3162	729	811.75	302.5	0.854560628523
MCF10A	drugC	1	1	48	1	557	811.75	302.5	0.535230361382
MCF10A	drugC	1	1	48	3.162	428	811.75	302.5	0.275951329613
MCF10A	drugC	1	1	48	10	436	811.75	302.5	0.292652196763
MCF10A	drugD	1	1	48	0.001	816	811.75	302.5	1.00734713639
MCF10A	drugD	1	1	48	0.003162	809	811.75	302.5	0.995239866376
MCF10A	drugD	1	1	48	0.01	797	811.75	302.5	0.974411673124
MCF10A	drugD	1	1	48	0.03162	747	811.75	302.5	0.886598425511
MCF10A	drugD	1	1	48	0.1	592	811.75	302.5	0.602353282942
MCF10A	drugD	1	1	48	0.3162	510	811.75	302.5	0.443078305465
MCF10A	drugD	1	1	48	1	500	811.75	302.5	0.42315065437
MCF10A	drugD	1	1	48	3.162	545	811.75	302.5	0.511929977766
MCF10A	drugD	1	1	48	10	547	811.75	302.5	0.515823902776
MCF10A	drugA	1	2	48	0.001	766	796.25	302.5	0.945285151745
MCF10A	drugA	1	2	48	0.003162	729	796.25	302.5	0.87751923456
MCF10A	drugA	1	2	48	0.01	679	796.25	302.5	0.784368382617
MCF10A	drugA	1	2	48	0.03162	545	796.25	302.5	0.524431617347
MCF10A	drugA	1	2	48	0.1	394	796.25	302.5	0.208362424331
MCF10A	drugA	1	2	48	0.3162	340	796.25	302.5	0.0872988966042
MCF10A	drugA	1	2	48	1	295	796.25	302.5	-0.0178198117026
MCF10A	drugA	1	2	48	3.162	291	796.25	302.5	-0.0273762132426
MCF10A	drugA	1	2	48	10	265	796.25	302.5	-0.0904344295591
MCF10A	drugB	1	2	48	0.001	799	796.25	302.5	1.00494454316
MCF10A	drugB	1	2	48	0.003162	772	796.25	302.5	0.956185738465
MCF10A	drugB	1	2	48	0.01	810	796.25	302.5	1.02467465098
MCF10A	drugB	1	2	48	0.03162	767	796.25	302.5	0.947103594352
MCF10A	drugB	1	2	48	0.1	720	796.25	302.5	0.860889354177
MCF10A	drugB	1	2	48	0.3162	703	796.25	302.5	0.829315321404
MCF10A	drugB	1	2	48	1	559	796.25	302.5	0.552376106481
MCF10A	drugB	1	2	48	3.162	403	796.25	302.5	0.228067249021
MCF10A	drugB	1	2	48	10	288	796.25	302.5	-0.0345679929332
MCF10A	drugC	1	2	48	0.001	863	796.25	302.5	1.11869678399
MCF10A	drugC	1	2	48	0.003162	824	796.25	302.5	1.04967609472
MCF10A	drugC	1	2	48	0.01	785	796.25	302.5	0.979721596502
MCF10A	drugC	1	2	48	0.03162	771	796.25	302.5	0.954370648435
MCF10A	drugC	1	2	48	0.1	826	796.25	302.5	1.05323785002
MCF10A	drugC	1	2	48	0.3162	808	796.25	302.5	1.02109304305
MCF10A	drugC	1	2	48	1	553	796.25	302.5	0.540424509098
MCF10A	drugC	1	2	48	3.162	409	796.25	302.5	0.241134407134
MCF10A	drugC	1	2	48	10	376	796.25	302.5	0.168564388024
MCF10A	drugD	1	2	48	0.001	816	796.25	302.5	1.03540445229
MCF10A	drugD	1	2	48	0.003162	864	796.25	302.5	1.12045475676
MCF10A	drugD	1	2	48	0.01	737	796.25	302.5	0.892252488841
MCF10A	drugD	1	2	48	0.03162	804	796.25	302.5	1.01392226813
MCF10A	drugD	1	2	48	0.1	624	796.25	302.5	0.679620329672
MCF10A	drugD	1	2	48	0.3162	547	796.25	302.5	0.528436050873
MCF10A	drugD	1	2	48	1	522	796.25	302.5	0.478075637481
MCF10A	drugD	1	2	48	3.162	554	796.25	302.5	0.542418987924
MCF10A	drugD	1	2	48	10	458	796.25	302.5	0.345902885847
MCF10A	drugA	1	1	72	0.001	1285	1317.0	302.5	0.97695302197
MCF10A	drugA	1	1	72	0.003162	1208	1317.0	302.5	0.920220836758
MCF10A	drugA	1	1	72	0.01	1065	1317.0	302.5	0.809541140455
MCF10A	drugA	1	1	72	0.03162	788	1317.0	302.5	0.570090512571
MCF10A	drugA	1	1	72	0.1	528	1317.0	302.5	0.300130415521
MCF10A	drugA	1	1	72	0.3162	304	1317.0	302.5	0.00233346534066
MCF10A	drugA	1	1	72	1	286	1317.0	302.5	-0.0260830704154
MCF10A	drugA	1	1	72	3.162	246	1317.0	302.5	-0.0928252208659
MCF10A	drugA	1	1	72	10	294	1317.0	302.5	-0.0133400876421
MCF10A	drugB	1	1	72	0.001	1357	1317.0	302.5	1.02839617032
MCF10A	drugB	1	1	72	0.003162	1274	1317.0	302.5	0.968960646733
MCF10A	drugB	1	1	72	0.01	1234	1317.0	302.5	0.939585492277
MCF10A	drugB	1	1	72	0.03162	1273	1317.0	302.5	0.968232260762
MCF10A	drugB	1	1	72	0.1	1228	1317.0	302.5	0.935136023423
MCF10A	drugB	1	1	72	0.3162	1088	1317.0	302.5	0.827851236305
MCF10A	drugB	1	1	72	1	864	1317.0	302.5	0.639708874141
MCF10A	drugB	1	1	72	3.162	545	1317.0	302.5	0.319689690345
MCF10A	drugB	1	1	72	10	352	1317.0	302.5	0.0740215588923
MCF10A	drugC	1	1	72	0.001	1355	1317.0	302.5	1.02698695918
MCF10A	drugC	1	1	72	0.003162	1343	1317.0	302.5	1.01850849768
MCF10A	drugC	1	1	72	0.01	1249	1317.0	302.5	0.950659361556
MCF10A	drugC	1	1	72	0.03162	1255	1317.0	302.5	0.955069207694
MCF10A	drugC	1	1	72	0.1	1305	1317.0	302.5	0.99139245789
MCF10A	drugC	1	1	72	0.3162	1257	1317.0	302.5	0.956536678023
MCF10A	drugC	1	1	72	1	831	1317.0	302.5	0.60989481303
MCF10A	drugC	1	1	72	3.162	467	1317.0	302.5	0.227054955173
MCF10A	drugC	1	1	72	10	449	1317.0	302.5	0.204537715078
MCF10A	drugD	1	1	72	0.001	1317	1317.0	302.5	1.0
MCF10A	drugD	1	1	72	0.003162	1256	1317.0	302.5	0.955803097317
MCF10A	drugD	1	1	72	0.01	1229	1317.0	302.5	0.935878398627
MCF10A	drugD	1	1	72	0.03162	1046	1317.0	302.5	0.794257079403
MCF10A	drugD	1	1	72	0.1	794	1317.0	302.5	0.575712394324
MCF10A	drugD	1	1	72	0.3162	641	1317.0	302.5	0.424535192439
MCF10A	drugD	1	1	72	1	656	1317.0	302.5	0.440146761899
MCF10A	drugD	1	1	72	3.162	660	1317.0	302.5	0.444277885095
MCF10A	drugD	1	1	72	10	679	1317.0	302.5	0.463722257558
MCF10A	drugA	1	2	72	0.001	1213	1271.25	302.5	0.955218199293
MCF10A	drugA	1	2	72	0.003162	1158	1271.25	302.5	0.911902232905
MCF10A	drugA	1	2	72	0.01	1063	1271.25	302.5	0.834498490413
MCF10A	drugA	1	2	72	0.03162	770	1271.25	302.5	0.570017467284
MCF10A	drugA	1	2	72	0.1	463	1271.25	302.5	0.228142424398
MCF10A	drugA	1	2	72	0.3162	343	1271.25	302.5	0.0625415437633
MCF10A	drugA	1	2	72	1	268	1271.25	302.5	-0.056788387065
MCF10A	drugA	1	2	72	3.162	283	1271.25	302.5	-0.0316592495336
MCF10A	drugA	1	2	72	10	259	1271.25	302.5	-0.0722162725271
MCF10A	drugB	1	2	72	0.001	1273	1271.25	302.5	1.00132877662
MCF10A	drugB	1	2	72	0.003162	1240	1271.25	302.5	0.976110605368
MCF10A	drugB	1	2	72	0.01	1191	1271.25	302.5	0.938016256585
MCF10A	drugB	1	2	72	0.03162	1327	1271.25	302.5	1.04187622168
MCF10A	drugB	1	2	72	0.1	1259	1271.25	302.5	0.990671953353
MCF10A	drugB	1	2	72	0.3162	1046	1271.25	302.5	0.820274893642
MCF10A	drugB	1	2	72	1	905	1271.25	302.5	0.697371339381
MCF10A	drugB	1	2	72	3.162	520	1271.25	302.5	0.298950994331
MCF10A	drugB	1	2	72	10	328	1271.25	302.5	0.0398477662633
MCF10A	drugC	1	2	72	0.001	1251	1271.25	302.5	0.984554809074
MCF10A	drugC	1	2	72	0.003162	1298	1271.25	302.5	1.02020912567
MCF10A	drugC	1	2	72	0.01	1274	1271.25	302.5	1.0020876534
MCF10A	drugC	1	2	72	0.03162	1178	1271.25	302.5	0.927774148336
MCF10A	drugC	1	2	72	0.1	1314	1271.25	302.5	1.03219398771
MCF10A	drugC	1	2	72	0.3162	1185	1271.25	302.5	0.933296352349
MCF10A	drugC	1	2	72	1	798	1271.25	302.5	0.597326862426
MCF10A	drugC	1	2	72	3.162	432	1271.25	302.5	0.187729960991
MCF10A	drugC	1	2	72	10	455	1271.25	302.5	0.217850883013
MCF10A	drugD	1	2	72	0.001	1323	1271.25	302.5	1.03890231854
MCF10A	drugD	1	2	72	0.003162	1295	1271.25	302.5	1.0179534736
MCF10A	drugD	1	2	72	0.01	1350	1271.25	302.5	1.05888690529
MCF10A	drugD	1	2	72	0.03162	1232	1271.25	302.5	0.969945005911
MCF10A	drugD	1	2	72	0.1	893	1271.25	302.5	0.686467596292
MCF10A	drugD	1	2	72	0.3162	710	1271.25	302.5	0.509712351487
MCF10A	drugD	1	2	72	1	674	1271.25	302.5	0.47225697717
MCF10A	drugD	1	2	72	3.162	648	1271.25	302.5	0.444558037052
MCF10A	drugD	1	2	72	10	648	1271.25	302.5	0.444558037052
MCF7	drugA	0	1	48	0.001	951	932.75	410.2	1.03296781792
MCF7	drugA	0	1	48	0.003162	987	932.75	410.2	1.09771288322
MCF7	drugA	0	1	48	0.01	904	932.75	410.2	0.947858736467
MCF7	drugA	0	1	48	0.03162	833	932.75	410.2	0.817958656107
MCF7	drugA	0	1	48	0.1	631	932.75	410.2	0.438178016656
MCF7	drugA	0	1	48	0.3162	561	932.75	410.2	0.302340302292
MCF7	drugA	0	1	48	1	486	932.75	410.2	0.153813012213
MCF7	drugA	0	1	48	3.162	476	932.75	410.2	0.133748704357
MCF7	drugA	0	1	48	10	533	932.75	410.2	0.247276664459
MCF7	drugB	0	1	48	0.001	945	932.75	410.2	1.02214008142
MCF7	drugB	0	1	48	0.003162	924	932.75	410.2	0.984157853964
MCF7	drugB	0	1	48	0.01	946	932.75	410.2	1.0239454483
MCF7	drugB	0	1	48	0.03162	926	932.75	410.2	0.987780974613
MCF7	drugB	0	1	48	0.1	804	932.75	410.2	0.764409266719
MCF7	drugB	0	1	48	0.3162	499	932.75	410.2	0.179800557321
MCF7	drugB	0	1	48	1	176	932.75	410.2	-0.510299649396
MCF7	drugB	0	1	48	3.162	90	932.75	410.2	-0.721922013079
MCF7	drugB	0	1	48	10	68	932.75	410.2	-0.780491186298
MCF7	drugC	0	1	48	0.001	915	932.75	410.2	0.967838601759
MCF7	drugC	0	1	48	0.003162	916	932.75	410.2	0.969653086194
MCF7	drugC	0	1	48	0.01	962	932.75	410.2	1.0527910174
MCF7	drugC	0	1	48	0.03162	902	932.75	410.2	0.944221964538
MCF7	drugC	0	1	48	0.1	586	932.75	410.2	0.351141953945
MCF7	drugC	0	1	48	0.3162	69	932.75	410.2	-0.77777056188
MCF7	drugC	0	1	48	1	35	932.75	410.2	-0.874664119381
MCF7	drugC	0	1	48	3.162	33	932.75	410.2	-0.880734801089
MCF7	drugC	0	1	48	10	35	932.75	410.2	-0.874664119381
MCF7	drugD	0	1	48	0.001	976	932.75	410.2	1.07796943186
MCF7	drugD	0	1	48	0.003162	904	932.75	410.2	0.947858736467
MCF7	drugD	0	1	48	0.01	998	932.75	410.2	1.11742198619
MCF7	drugD	0	1	48	0.03162	914	932.75	410.2	0.966023807479
MCF7	drugD	0	1	48	0.1	927	932.75	410.2	0.989592076356
MCF7	drugD	0	1	48	0.3162	803	932.75	410.2	0.762557409817
MCF7	drugD	0	1	48	1	765	932.75	410.2	0.69191497047
MCF7	drugD	0	1	48	3.162	707	932.75	410.2	0.583019577649
MCF7	drugD	0	1	48	10	646	932.75	410.2	0.466971655732
MCF7	drugA	0	2	48	0.001	917	948.5	410.2	0.944916086631
MCF7	drugA	0	2	48	0.003162	946	948.5	410.2	0.995639959836
MCF7	drugA	0	2	48	0.01	985	948.5	410.2	1.0634332253
MCF7	drugA	0	2	48	0.03162	776	948.5	410.2	0.694117540642
MCF7	drugA	0	2	48	0.1	642	948.5	410.2	0.448327268559
MCF7	drugA	0	2	48	0.3162	475	948.5	410.2	0.12894432729
MCF7	drugA	0	2	48	1	505	948.5	410.2	0.187589933443
MCF7	drugA	0	2	48	3.162	489	948.5	410.2	0.156389691934
MCF7	drugA	0	2	48	10	485	948.5	410.2	0.148562205271
MCF7	drugB	0	2	48	0.001	957	948.5	410.2	1.01480929786
MCF7	drugB	0	2	48	0.003162	1016	948.5	410.2	1.11698876246
MCF7	drugB	0	2	48	0.01	885	948.5	410.2	0.888621323276
MCF7	drugB	0	2	48	0.03162	870	948.5	410.2	0.862112382367
MCF7	drugB	0	2	48	0.1	775	948.5	410.2	0.692312076206
MCF7	drugB	0	2	48	0.3162	433	948.5	410.2	0.0457454585415
MCF7	drugB	0	2	48	1	177	948.5	410.2	-0.500932781137
MCF7	drugB	0	2	48	3.162	84	948.5	410.2	-0.730540812141
MCF7	drugB	0	2	48	10	68	948.5	410.2	-0.773740364171
MCF7	drugC	0	2	48	0.001	904	948.5	410.2	0.922088024978
MCF7	drugC	0	2	48	0.003162	873	948.5	410.2	0.867420458
MCF7	drugC	0	2	48	0.01	969	948.5	410.2	1.03567786659
MCF7	drugC	0	2	48	0.03162	881	948.5	410.2	0.881559929671
MCF7	drugC	0	2	48	0.1	550	948.5	410.2	0.274445227647
MCF7	drugC	0	2	48	0.3162	74	948.5	410.2	-0.757353758041
MCF7	drugC	0	2	48	1	35	948.5	410.2	-0.869355173945
MCF7	drugC	0	2	48	3.162	31	948.5	410.2	-0.881829583949
MCF7	drugC	0	2	48	10	31	948.5	410.2	-0.881829583949
MCF7	drugD	0	2	48	0.001	921	948.5	410.2	0.951928806394
MCF7	drugD	0	2	48	0.003162	937	948.5	410.2	0.979927253316
MCF7	drugD	0	2	48	0.01	951	948.5	410.2	1.00435805149
MCF7	drugD	0	2	48	0.03162	879	948.5	410.2	0.878027152876
MCF7	drugD	0	2	48	0.1	875	948.5	410.2	0.870957420773
MCF7	drugD	0	2	48	0.3162	888	948.5	410.2	0.893913742965
MCF7	drugD	0	2	48	1	691	948.5	410.2	0.539149250181
MCF7	drugD	0	2	48	3.162	756	948.5	410.2	0.65793092355
MCF7	drugD	0	2	48	10	735	948.5	410.2	0.61975611394
MCF7	drugA	0	1	72	0.001	1471	1482.25	410.2	0.991795437991
MCF7	drugA	0	1	72	0.003162	1378	1482.25	410.2	0.922831258941
MCF7	drugA	0	1	72	0.01	1291	1482.25	410.2	0.85634825917
MCF7	drugA	0	1	72	0.03162	1207	1482.25	410.2	0.79017010177
MCF7	drugA	0	1	72	0.1	786	1482.25	410.2	0.420312796312
MCF7	drugA	0	1	72	0.3162	589	1482.25	410.2	0.21555389406
MCF7	drugA	0	1	72	1	514	1482.25	410.2	0.129427980658
