cell_line	perturbation	replicate	time	cell_count	time0_tag	ctrl_tag
MCF10A	1	2	48	252	t0_2	c_6
MCF10A	1	2	48	241	t0_2	c_6
MCF10A	1	2	48	227	t0_2	c_6
MCF10A	1	2	48	282	t0_2	c_6
MCF10A	1	1	72	450	t0_2	c_7
MCF10A	1	1	72	371	t0_2	c_7
MCF10A	1	1	72	490	t0_2	c_7
MCF10A	1	1	72	466	t0_2	c_7
MCF10A	1	1	72	422	t0_2	c_7
MCF10A	1	1	72	394	t0_2	c_7
MCF10A	1	1	72	415	t0_2	c_7
MCF10A	1	1	72	392	t0_2	c_7
MCF10A	1	2	72	483	t0_2	c_8
MCF10A	1	2	72	453	t0_2	c_8
MCF10A	1	2	72	400	t0_2	c_8
MCF10A	1	2	72	498	t0_2	c_8
MCF10A	1	2	72	356	t0_2	c_8
MCF10A	1	2	72	449	t0_2	c_8
MCF10A	1	2	72	435	t0_2	c_8
MCF10A	1	2	72	503	t0_2	c_8
MCF7	0	1	48	359	t0_3	c_9
MCF7	0	1	48	315	t0_3	c_9
MCF7	0	1	48	335	t0_3	c_9
MCF7	0	1	48	289	t0_3	c_9
MCF7	0	1	48	342	t0_3	c_9
MCF7	0	1	48	296	t0_3	c_9
MCF7	0	1	48	387	t0_3	c_9
MCF7	0	1	48	323	t0_3	c_9
MCF7	0	2	48	319	t0_3	c_10
MCF7	0	2	48	333	t0_3	c_10
MCF7	0	2	48	409	t0_3	c_10
MCF7	0	2	48	385	t0_3	c_10
MCF7	0	2	48	415	t0_3	c_10
MCF7	0	2	48	288	t0_3	c_10
MCF7	0	2	48	288	t0_3	c_10
MCF7	0	2	48	316	t0_3	c_10
MCF7	0	1	72	498	t0_3	c_11
MCF7	0	1	72	530	t0_3	c_11
MCF7	0	1	72	518	t0_3	c_11
MCF7	0	1	72	483	t0_3	c_11
MCF7	0	1	72	466	t0_3	c_11
MCF7	0	1	72	497	t0_3	c_11
MCF7	0	1	72	426	t0_3	c_11
MCF7	0	1	72	548	t0_3	c_11
MCF7	0	2	72	391	t0_3	c_12
MCF7	0	2	72	464	t0_3	c_12
MCF7	0	2	72	496	t0_3	c_12
MCF7	0	2	72	504	t0_3	c_12
MCF7	0	2	72	432	t0_3	c_12
MCF7	0	2	72	425	t0_3	c_12
MCF7	0	2	72	406	t0_3	c_12
MCF7	0	2	72	464	t0_3	c_12
MCF7	1	1	48	294	t0_4	c_13
MCF7	1	1	48	279	t0_4	c_13
MCF7	1	1	48	254	t0_4	c_13
MCF7	1	1	48	330	t0_4	c_13
MCF7	1	1	48	314	t0_4	c_13
MCF7	1	1	48	325	t0_4	c_13
MCF7	1	1	48	316	t0_4	c_13
MCF7	1	1	48	294	t0_4	c_13
MCF7	1	2	48	354	t0_4	c_14
MCF7	1	2	48	361	t0_4	c_14
MCF7	1	2	48	303	t0_4	c_14
MCF7	1	2	48	336	t0_4	c_14
MCF7	1	2	48	314	t0_4	c_14
MCF7	1	2	48	347	t0_4	c_14
MCF7	1	2	48	317	t0_4	c_14
MCF7	1	2	48	295	t0_4	c_14
MCF7	1	1	72	492	t0_4	c_15
MCF7	1	1	72	521	t0_4	c_15
MCF7	1	1	72	458	t0_4	c_15
MCF7	1	1	72	572	t0_4	c_15
MCF7	1	1	72	459	t0_4	c_15
MCF7	1	1	72	515	t0_4	c_15
MCF7	1	1	72	516	t0_4	c_15
MCF7	1	1	72	452	t0_4	c_15
MCF7	1	2	72	516	t0_4	c_16
MCF7	1	2	72	427	t0_4	c_16
MCF7	1	2	72	526	t0_4	c_16
MCF7	1	2	72	451	t0_4	c_16
MCF7	1	2	72	465	t0_4	c_16
MCF7	1	2	72	441	t0_4	c_16
MCF7	1	2	72	408	t0_4	c_16
MCF7	1	2	72	520	t0_4	c_16
BT20	0	1	48	489	t0_5	c_17
BT20	0	1	48	460	t0_5	c_17
BT20	0	1	48	467	t0_5	c_17
BT20	0	1	48	410	t0_5	c_17
BT20	0	1	48	380	t0_5	c_17
BT20	0	1	48	433	t0_5	c_17
BT20	0	1	48	469	t0_5	c_17
BT20	0	1	48	431	t0_5	c_17
BT20	0	2	48	480	t0_5	c_18
BT20	0	2	48	529	t0_5	c_18
BT20	0	2	48	421	t0_5	c_18
BT20	0	2	48	551	t0_5	c_18
BT20	0	2	48	397	t0_5	c_18
BT20	0	2	48	454	t0_5	c_18
BT20	0	2	48	411	t0_5	c_18
BT20	0	2	48	420	t0_5	c_18
BT20	0	3	48	467	t0_5	c_19
BT20	0	3	48	486	t0_5	c_19
BT20	0	3	48	474	t0_5	c_19
BT20	0	3	48	414	t0_5	c_19
BT20	0	3	48	455	t0_5	c_19
BT20	0	3	48	536	t0_5	c_19
BT20	0	3	48	497	t0_5	c_19
BT20	0	3	48	479	t0_5	c_19
BT20	0	1	72	585	t0_5	c_20
BT20	0	1	72	658	t0_5	c_20
BT20	0	1	72	615	t0_5	c_20
BT20	0	1	72	667	t0_5	c_20
BT20	0	1	72	547	t0_5	c_20
BT20	0	1	72	556	t0_5	c_20
BT20	0	1	72	562	t0_5	c_20
BT20	0	1	72	565	t0_5	c_20
BT20	0	2	72	633	t0_5	c_21
BT20	0	2	72	677	t0_5	c_21
BT20	0	2	72	591	t0_5	c_21
BT20	0	2	72	679	t0_5	c_21
BT20	0	2	72	495	t0_5	c_21
BT20	0	2	72	599	t0_5	c_21
BT20	0	2	72	669	t0_5	c_21
BT20	0	2	72	567	t0_5	c_21
BT20	0	3	72	576	t0_5	c_22
BT20	0	3	72	675	t0_5	c_22
BT20	0	3	72	591	t0_5	c_22
BT20	0	3	72	558	t0_5	c_22
BT20	0	3	72	614	t0_5	c_22
BT20	0	3	72	614	t0_5	c_22
BT20	0	3	72	631	t0_5	c_22
BT20	0	3	72	597	t0_5	c_22
BT20	1	1	48	361	t0_6	c_23
BT20	1	1	48	310	t0_6	c_23
BT20	1	1	48	380	t0_6	c_23
BT20	1	1	48	416	t0_6	c_23
BT20	1	1	48	447	t0_6	c_23
BT20	1	1	48	390	t0_6	c_23
BT20	1	1	48	319	t0_6	c_23
BT20	1	1	48	350	t0_6	c_23
BT20	1	2	48	386	t0_6	c_24
BT20	1	2	48	394	t0_6	c_24
BT20	1	2	48	338	t0_6	c_24
BT20	1	2	48	415	t0_6	c_24
BT20	1	2	48	381	t0_6	c_24
BT20	1	2	48	320	t0_6	c_24
BT20	1	2	48	350	t0_6	c_24
BT20	1	2	48	419	t0_6	c_24
BT20	1	3	48	373	t0_6	c_25
BT20	1	3	48	412	t0_6	c_25
BT20	1	3	48	392	t0_6	c_25
BT20	1	3	48	316	t0_6	c_25
BT20	1	3	48	409	t0_6	c_25
BT20	1	3	48	302	t0_6	c_25
BT20	1	3	48	302	t0_6	c_25
BT20	1	3	48	417	t0_6	c_25
BT20	1	1	72	422	t0_6	c_26
BT20	1	1	72	440	t0_6	c_26
BT20	1	1	72	491	t0_6	c_26
BT20	1	1	72	439	t0_6	c_26
BT20	1	1	72	435	t0_6	c_26
BT20	1	1	72	375	t0_6	c_26
BT20	1	1	72	377	t0_6	c_26
BT20	1	1	72	443	t0_6	c_26
BT20	1	2	72	441	t0_6	c_27
BT20	1	2	72	470	t0_6	c_27
BT20	1	2	72	453	t0_6	c_27
BT20	1	2	72	429	t0_6	c_27
BT20	1	2	72	375	t0_6	c_27
BT20	1	2	72	455	t0_6	c_27
BT20	1	2	72	388	t0_6	c_27
BT20	1	2	72	358	t0_6	c_27
BT20	1	3	72	443	t0_6	c_28
BT20	1	3	72	453	t0_6	c_28
BT20	1	3	72	416	t0_6	c_28
BT20	1	3	72	467	t0_6	c_28
BT20	1	3	72	439	t0_6	c_28
BT20	1	3	72	488	t0_6	c_28
BT20	1	3	72	377	t0_6	c_28
BT20	1	3	72	458	t0_6	c_28
