cell_line	egf	time	agent	concentration	replicate	cell_count	cell_count__ctrl	cell_count__time0
MCF10A	1	72	17-AAG	0.100	2	361	400	100
MCF10A	1	72	17-AAG	0.316	2	311	400	100
MCF10A	1	72	17-AAG	1.00	2	231	400	100
MCF10A	1	72	17-AAG	3.16	2	143	400	100
MCF10A	1	72	17-AAG	10.0	2	67	400	100
MCF10A	1	72	Etoposide	0.0316	0	395	400	100
MCF10A	1	72	Etoposide	0.100	0	360	400	100
MCF10A	1	72	Etoposide	0.316	0	282	400	100
MCF10A	1	72	Etoposide	1.00	0	249	400	100
MCF10A	1	72	Etoposide	3.16	0	180	400	100
MCF10A	1	72	Etoposide	10.0	0	127	400	100
MCF10A	1	72	Etoposide	0.0316	1	393	400	100
MCF10A	1	72	Etoposide	0.100	1	349	400	100
MCF10A	1	72	Etoposide	0.316	1	307	400	100
MCF10A	1	72	Etoposide	1.00	1	285	400	100
MCF10A	1	72	Etoposide	3.16	1	241	400	100
MCF10A	1	72	Etoposide	10.0	1	130	400	100
MCF10A	1	72	Etoposide	0.0316	2	365	400	100
MCF10A	1	72	Etoposide	0.100	2	325	400	100
MCF10A	1	72	Etoposide	0.316	2	331	400	100
MCF10A	1	72	Etoposide	1.00	2	277	400	100
MCF10A	1	72	Etoposide	3.16	2	202	400	100
MCF10A	1	72	Etoposide	10.0	2	179	400	100
MCF10A	1	72	GSK2126458	0.0316	0	391	400	100
MCF10A	1	72	GSK2126458	0.100	0	351	400	100
MCF10A	1	72	GSK2126458	0.316	0	289	400	100
MCF10A	1	72	GSK2126458	1.00	0	198	400	100
MCF10A	1	72	GSK2126458	3.16	0	118	400	100
MCF10A	1	72	GSK2126458	10.0	0	58	400	100
MCF10A	1	72	GSK2126458	0.0316	1	379	400	100
MCF10A	1	72	GSK2126458	0.100	1	354	400	100
MCF10A	1	72	GSK2126458	0.316	1	295	400	100
MCF10A	1	72	GSK2126458	1.00	1	205	400	100
MCF10A	1	72	GSK2126458	3.16	1	114	400	100
MCF10A	1	72	GSK2126458	10.0	1	56	400	100
MCF10A	1	72	GSK2126458	0.0316	2	388	400	100
MCF10A	1	72	GSK2126458	0.100	2	351	400	100
MCF10A	1	72	GSK2126458	0.316	2	298	400	100
MCF10A	1	72	GSK2126458	1.00	2	199	400	100
MCF10A	1	72	GSK2126458	3.16	2	117	400	100
MCF10A	1	72	GSK2126458	10.0	2	59	400	100
BT20	0	72	17-AAG	0.0316	0	485	550	250
BT20	0	72	17-AAG	0.100	0	417	550	250
BT20	0	72	17-AAG	0.316	0	362	550	250
BT20	0	72	17-AAG	1.00	0	239	550	250
BT20	0	72	17-AAG	3.16	0	263	550	250
BT20	0	72	17-AAG	10.0	0	249	550	250
BT20	0	72	17-AAG	0.0316	1	451	550	250
BT20	0	72	17-AAG	0.100	1	448	550	250
BT20	0	72	17-AAG	0.316	1	324	550	250
BT20	0	72	17-AAG	1.00	1	281	550	250
BT20	0	72	17-AAG	3.16	1	253	550	250
BT20	0	72	17-AAG	10.0	1	295	550	250
BT20	0	72	17-AAG	0.0316	2	515	550	250
BT20	0	72	17-AAG	0.100	2	418	550	250
BT20	0	72	17-AAG	0.316	2	357	550	250
BT20	0	72	17-AAG	1.00	2	302	550	250
BT20	0	72	17-AAG	3.16	2	210	550	250
BT20	0	72	17-AAG	10.0	2	299	550	250
BT20	0	72	Etoposide	0.0316	0	521	550	250
BT20	0	72	Etoposide	0.100	0	466	550	250
BT20	0	72	Etoposide	0.316	0	429	550	250
BT20	0	72	Etoposide	1.00	0	305	550	250
BT20	0	72	Etoposide	3.16	0	171	550	250
BT20	0	72	Etoposide	10.0	0	115	550	250
BT20	0	72	Etoposide	0.0316	1	536	550	250
BT20	0	72	Etoposide	0.100	1	489	550	250
BT20	0	72	Etoposide	0.316	1	422	550	250
BT20	0	72	Etoposide	1.00	1	298	550	250
BT20	0	72	Etoposide	3.16	1	179	550	250
BT20	0	72	Etoposide	10.0	1	106	550	250
BT20	0	72	Etoposide	0.0316	2	525	550	250
BT20	0	72	Etoposide	0.100	2	501	550	250
BT20	0	72	Etoposide	0.316	2	398	550	250
BT20	0	72	Etoposide	1.00	2	276	550	250
BT20	0	72	Etoposide	3.16	2	149	550	250
BT20	0	72	Etoposide	10.0	2	86	550	250
BT20	0	72	GSK2126458	0.0316	0	520	550	250
BT20	0	72	GSK2126458	0.100	0	485	550	250
BT20	0	72	GSK2126458	0.316	0	408	550	250
BT20	0	72	GSK2126458	1.00	0	291	550	250
BT20	0	72	GSK2126458	3.16	0	168	550	250
BT20	0	72	GSK2126458	10.0	0	76	550	250
BT20	0	72	GSK2126458	0.0316	1	523	550	250
BT20	0	72	GSK2126458	0.100	1	492	550	250
BT20	0	72	GSK2126458	0.316	1	413	550	250
BT20	0	72	GSK2126458	1.00	1	262	550	250
BT20	0	72	GSK2126458	3.16	1	179	550	250
BT20	0	72	GSK2126458	10.0	1	113	550	250
BT20	0	72	GSK2126458	0.0316	2	539	550	250
BT20	0	72	GSK2126458	0.100	2	495	550	250
BT20	0	72	GSK2126458	0.316	2	420	550	250
BT20	0	72	GSK2126458	1.00	2	298	550	250
BT20	0	72	GSK2126458	3.16	2	173	550	250
BT20	0	72	GSK2126458	10.0	2	85	550	250
BT20	1	72	17-AAG	0.0316	0	442	450	250
BT20	1	72	17-AAG	0.100	0	432	450	250
BT20	1	72	17-AAG	0.316	0	382	450	250
BT20	1	72	17-AAG	1.00	0	310	450	250
BT20	1	72	17-AAG	3.16	0	209	450	250
BT20	1	72	17-AAG	10.0	0	142	450	250
BT20	1	72	17-AAG	0.0316	1	422	450	250
BT20	1	72	17-AAG	0.100	1	429	450	250
BT20	1	72	17-AAG	0.316	1	392	450	250
BT20	1	72	17-AAG	1.00	1	299	450	250
BT20	1	72	17-AAG	3.16	1	196	450	250
BT20	1	72	17-AAG	10.0	1	130	450	250
BT20	1	72	17-AAG	0.0316	2	421	450	250
BT20	1	72	17-AAG	0.100	2	408	450	250
BT20	1	72	17-AAG	0.316	2	397	450	250
BT20	1	72	17-AAG	1.00	2	301	450	250
BT20	1	72	17-AAG	3.16	2	227	450	250
BT20	1	72	17-AAG	10.0	2	119	450	250
BT20	1	72	Etoposide	0.0316	0	444	450	250
BT20	1	72	Etoposide	0.100	0	427	450	250
BT20	1	72	Etoposide	0.316	0	397	450	250
BT20	1	72	Etoposide	1.00	0	291	450	250
BT20	1	72	Etoposide	3.16	0	203	450	250
BT20	1	72	Etoposide	10.0	0	104	450	250
BT20	1	72	Etoposide	0.0316	1	444	450	250
BT20	1	72	Etoposide	0.100	1	411	450	250
BT20	1	72	Etoposide	0.316	1	390	450	250
BT20	1	72	Etoposide	1.00	1	312	450	250
BT20	1	72	Etoposide	3.16	1	208	450	250
BT20	1	72	Etoposide	10.0	1	127	450	250
BT20	1	72	Etoposide	0.0316	2	431	450	250
BT20	1	72	Etoposide	0.100	2	412	450	250
BT20	1	72	Etoposide	0.316	2	396	450	250
BT20	1	72	Etoposide	1.00	2	318	450	250
BT20	1	72	Etoposide	3.16	2	223	450	250
BT20	1	72	Etoposide	10.0	2	110	450	250
BT20	1	72	GSK2126458	0.0316	0	406	450	250
BT20	1	72	GSK2126458	0.100	0	383	450	250
BT20	1	72	GSK2126458	0.316	0	372	450	250
BT20	1	72	GSK2126458	1.00	0	332	450	250
BT20	1	72	GSK2126458	3.16	0	304	450	250
BT20	1	72	GSK2126458	10.0	0	264	450	250
BT20	1	72	GSK2126458	0.0316	1	444	450	250
BT20	1	72	GSK2126458	0.100	1	431	450	250
BT20	1	72	GSK2126458	0.316	1	324	450	250
BT20	1	72	GSK2126458	1.00	1	293	450	250
BT20	1	72	GSK2126458	3.16	1	282	450	250
BT20	1	72	GSK2126458	10.0	1	258	450	250
BT20	1	72	GSK2126458	0.0316	2	419	450	250
BT20	1	72	GSK2126458	0.100	2	409	450	250
BT20	1	72	GSK2126458	0.316	2	377	450	250
BT20	1	72	GSK2126458	1.00	2	302	450	250
BT20	1	72	GSK2126458	3.16	2	260	450	250
BT20	1	72	GSK2126458	10.0	2	247	450	250
