cell_line	agent	perturbation	replicate	time	concentration	cell_count	GRvalue
MCF10A	drugA	1	1	48	0.003162	289	1.13982
MCF10A	drugA	1	1	48	0.01	282	1.10254
MCF10A	drugA	1	1	48	0.03162	264	1.00545
MCF10A	drugA	1	1	48	0.1	310	1.25017
MCF10A	drugA	1	1	48	0.3162	307	1.23454
MCF10A	drugA	1	1	48	1	206	0.678743
MCF10A	drugA	1	1	48	3.162	176	0.499639
MCF10A	drugA	1	1	48	10	156	0.375417
MCF10A	drugB	1	1	48	0.001	240	0.873012
MCF10A	drugB	1	1	48	0.003162	271	1.04342
MCF10A	drugB	1	1	48	0.01	297	1.18212
MCF10A	drugB	1	1	48	0.03162	264	1.00545
MCF10A	drugB	1	1	48	0.1	247	0.912012
MCF10A	drugB	1	1	48	0.3162	250	0.92863
MCF10A	drugB	1	1	48	1	190	0.584216
MCF10A	drugB	1	1	48	3.162	140	0.27276
MCF10A	drugB	1	1	48	10	124	0.166718
MCF10A	drugC	1	1	48	0.001	284	1.11322
MCF10A	drugC	1	1	48	0.003162	290	1.14513
MCF10A	drugC	1	1	48	0.01	296	1.17685
MCF10A	drugC	1	1	48	0.03162	260	0.98362
MCF10A	drugC	1	1	48	0.1	265	1.01089
MCF10A	drugC	1	1	48	0.3162	221	0.765489
MCF10A	drugC	1	1	48	1	213	0.71944
MCF10A	drugC	1	1	48	3.162	194	0.608052
MCF10A	drugC	1	1	48	10	209	0.696232
MCF10A	drugD	1	1	48	0.001	230	0.816734
MCF10A	drugD	1	1	48	0.003162	273	1.05422
MCF10A	drugD	1	1	48	0.01	296	1.17685
MCF10A	drugD	1	1	48	0.03162	265	1.01089
MCF10A	drugD	1	1	48	0.1	215	0.730997
MCF10A	drugD	1	1	48	0.3162	144	0.298723
MCF10A	drugD	1	1	48	1	102	0.014296
MCF10A	drugD	1	1	48	3.162	126	0.180177
MCF10A	drugD	1	1	48	10	128	0.193575
MCF10A	drugA	1	2	48	0.001	258	1.04187
MCF10A	drugA	1	2	48	0.003162	257	1.0359
MCF10A	drugA	1	2	48	0.01	239	0.927548
MCF10A	drugA	1	2	48	0.03162	264	1.07753
MCF10A	drugA	1	2	48	0.1	240	0.93362
MCF10A	drugA	1	2	48	0.3162	235	0.9032
MCF10A	drugA	1	2	48	1	247	0.975946
MCF10A	drugA	1	2	48	3.162	183	0.576432
MCF10A	drugA	1	2	48	10	163	0.444832
MCF10A	drugB	1	2	48	0.001	236	0.909296
MCF10A	drugB	1	2	48	0.003162	281	1.17751
MCF10A	drugB	1	2	48	0.01	231	0.878749
MCF10A	drugB	1	2	48	0.03162	264	1.07753
MCF10A	drugB	1	2	48	0.1	262	1.06567
MCF10A	drugB	1	2	48	0.3162	250	0.993996
MCF10A	drugB	1	2	48	1	207	0.729759
MCF10A	drugB	1	2	48	3.162	133	0.239606
MCF10A	drugB	1	2	48	10	158	0.411323
MCF10A	drugC	1	2	48	0.001	305	1.31616
MCF10A	drugC	1	2	48	0.003162	282	1.18335
MCF10A	drugC	1	2	48	0.01	265	1.08346
MCF10A	drugC	1	2	48	0.03162	302	1.29898
MCF10A	drugC	1	2	48	0.1	252	1.006
MCF10A	drugC	1	2	48	0.3162	215	0.779873
MCF10A	drugC	1	2	48	1	221	0.817158
MCF10A	drugC	1	2	48	3.162	187	0.602316
MCF10A	drugC	1	2	48	10	211	0.754875
MCF10A	drugD	1	2	48	0.001	293	1.24719
MCF10A	drugD	1	2	48	0.003162	212	0.761135
MCF10A	drugD	1	2	48	0.01	227	0.854193
MCF10A	drugD	1	2	48	0.03162	290	1.22984
MCF10A	drugD	1	2	48	0.1	203	0.704523
MCF10A	drugD	1	2	48	0.3162	124	0.175883
MCF10A	drugD	1	2	48	1	132	0.23258
MCF10A	drugD	1	2	48	3.162	103	0.0225131
MCF10A	drugD	1	2	48	10	111	0.0817746
MCF10A	drugA	1	1	72	0.001	455	1.07884
MCF10A	drugA	1	1	72	0.003162	418	0.995394
MCF10A	drugA	1	1	72	0.01	485	1.14395
MCF10A	drugA	1	1	72	0.03162	450	1.06777
MCF10A	drugA	1	1	72	0.1	357	0.84901
MCF10A	drugA	1	1	72	0.3162	454	1.07663
MCF10A	drugA	1	1	72	1	393	0.936833
MCF10A	drugA	1	1	72	3.162	265	0.601136
MCF10A	drugA	1	1	72	10	196	0.384076
MCF10A	drugB	1	1	72	0.001	358	0.85151
MCF10A	drugB	1	1	72	0.003162	387	0.922494
MCF10A	drugB	1	1	72	0.01	396	0.94396
MCF10A	drugB	1	1	72	0.03162	389	0.927286
MCF10A	drugB	1	1	72	0.1	418	0.995394
MCF10A	drugB	1	1	72	0.3162	409	0.974526
MCF10A	drugB	1	1	72	1	373	0.888582
MCF10A	drugB	1	1	72	3.162	209	0.42768
MCF10A	drugB	1	1	72	10	140	0.176468
MCF10A	drugC	1	1	72	0.001	457	1.08324
MCF10A	drugC	1	1	72	0.003162	429	1.02059
MCF10A	drugC	1	1	72	0.01	461	1.09203
MCF10A	drugC	1	1	72	0.03162	455	1.07884
MCF10A	drugC	1	1	72	0.1	419	0.997699
MCF10A	drugC	1	1	72	0.3162	332	0.785296
MCF10A	drugC	1	1	72	1	258	0.580566
MCF10A	drugC	1	1	72	3.162	337	0.798232
MCF10A	drugC	1	1	72	10	319	0.751182
MCF10A	drugD	1	1	72	0.001	380	0.905619
MCF10A	drugD	1	1	72	0.003162	515	1.20701
MCF10A	drugD	1	1	72	0.01	399	0.951059
MCF10A	drugD	1	1	72	0.03162	342	0.811069
MCF10A	drugD	1	1	72	0.1	249	0.553691
MCF10A	drugD	1	1	72	0.3162	160	0.254845
MCF10A	drugD	1	1	72	1	134	0.151839
MCF10A	drugD	1	1	72	3.162	108	0.0378718
MCF10A	drugD	1	1	72	10	121	0.0964414
MCF10A	drugA	1	2	72	0.001	470	1.0299
MCF10A	drugA	1	2	72	0.003162	464	1.018
MCF10A	drugA	1	2	72	0.01	463	1.01601
MCF10A	drugA	1	2	72	0.03162	446	0.981804
MCF10A	drugA	1	2	72	0.1	449	0.987891
MCF10A	drugA	1	2	72	0.3162	455	1
MCF10A	drugA	1	2	72	1	305	0.665558
MCF10A	drugA	1	2	72	3.162	253	0.529049
MCF10A	drugA	1	2	72	10	203	0.38253
MCF10A	drugB	1	2	72	0.001	479	1.04759
MCF10A	drugB	1	2	72	0.003162	459	1.00802
MCF10A	drugB	1	2	72	0.01	482	1.05345
MCF10A	drugB	1	2	72	0.03162	360	0.7968
MCF10A	drugB	1	2	72	0.1	363	0.803635
MCF10A	drugB	1	2	72	0.3162	438	0.965461
MCF10A	drugB	1	2	72	1	341	0.752778
MCF10A	drugB	1	2	72	3.162	167	0.264414
MCF10A	drugB	1	2	72	10	166	0.260945
MCF10A	drugC	1	2	72	0.001	402	0.889836
MCF10A	drugC	1	2	72	0.003162	431	0.951028
MCF10A	drugC	1	2	72	0.01	475	1.03975
MCF10A	drugC	1	2	72	0.03162	452	0.993956
MCF10A	drugC	1	2	72	0.1	438	0.965461
MCF10A	drugC	1	2	72	0.3162	339	0.748067
MCF10A	drugC	1	2	72	1	272	0.580551
MCF10A	drugC	1	2	72	3.162	336	0.740973
MCF10A	drugC	1	2	72	10	253	0.529049
MCF10A	drugD	1	2	72	0.001	400	0.885528
MCF10A	drugD	1	2	72	0.003162	358	0.792226
MCF10A	drugD	1	2	72	0.01	454	0.997988
MCF10A	drugD	1	2	72	0.03162	355	0.78534
MCF10A	drugD	1	2	72	0.1	300	0.65301
MCF10A	drugD	1	2	72	0.3162	176	0.295145
MCF10A	drugD	1	2	72	1	142	0.174004
MCF10A	drugD	1	2	72	3.162	138	0.158757
MCF10A	drugD	1	2	72	10	121	0.0911213
MCF7	drugA	0	1	48	0.001	362	1.18758
MCF7	drugA	0	1	48	0.003162	332	1.02216
MCF7	drugA	0	1	48	0.01	328	1
MCF7	drugA	0	1	48	0.03162	303	0.860945
MCF7	drugA	0	1	48	0.1	234	0.471379
MCF7	drugA	0	1	48	0.3162	219	0.385391
MCF7	drugA	0	1	48	1	219	0.385391
MCF7	drugA	0	1	48	3.162	183	0.176739
MCF7	drugA	0	1	48	10	176	0.135753
MCF7	drugB	0	1	48	0.001	311	0.905552
MCF7	drugB	0	1	48	0.003162	337	1.04982
MCF7	drugB	0	1	48	0.01	328	1
MCF7	drugB	0	1	48	0.03162	282	0.743332
MCF7	drugB	0	1	48	0.1	322	0.966718
MCF7	drugB	0	1	48	0.3162	321	0.961165
MCF7	drugB	0	1	48	1	288	0.777014
MCF7	drugB	0	1	48	3.162	220	0.391139
MCF7	drugB	0	1	48	10	236	0.482805
MCF7	drugC	0	1	48	0.001	359	1.1711
MCF7	drugC	0	1	48	0.003162	272	0.687048
MCF7	drugC	0	1	48	0.01	272	0.687048
MCF7	drugC	0	1	48	0.03162	348	1.11055
MCF7	drugC	0	1	48	0.1	360	1.1766
MCF7	drugC	0	1	48	0.3162	273	0.692685
MCF7	drugC	0	1	48	1	264	0.641885
MCF7	drugC	0	1	48	3.162	226	0.425583
MCF7	drugC	0	1	48	10	216	0.36813
MCF7	drugD	0	1	48	0.001	357	1.1601
MCF7	drugD	0	1	48	0.003162	356	1.1546
MCF7	drugD	0	1	48	0.01	320	0.955611
MCF7	drugD	0	1	48	0.03162	325	0.983366
MCF7	drugD	0	1	48	0.1	300	0.84419
MCF7	drugD	0	1	48	0.3162	295	0.81623
MCF7	drugD	0	1	48	1	254	0.585256
MCF7	drugD	0	1	48	3.162	280	0.73209
MCF7	drugD	0	1	48	10	269	0.670126
MCF7	drugA	0	2	48	0.001	288	0.738722
MCF7	drugA	0	2	48	0.003162	383	1.231
MCF7	drugA	0	2	48	0.01	332	0.968917
MCF7	drugA	0	2	48	0.03162	275	0.669889
MCF7	drugA	0	2	48	0.1	273	0.659263
MCF7	drugA	0	2	48	0.3162	243	0.498659
MCF7	drugA	0	2	48	1	235	0.455422
MCF7	drugA	0	2	48	3.162	204	0.286059
MCF7	drugA	0	2	48	10	203	0.280544
MCF7	drugB	0	2	48	0.001	399	1.3123
MCF7	drugB	0	2	48	0.003162	392	1.27678
MCF7	drugB	0	2	48	0.01	288	0.738722
MCF7	drugB	0	2	48	0.03162	357	1.09798
MCF7	drugB	0	2	48	0.1	309	0.8491
MCF7	drugB	0	2	48	0.3162	386	1.24628
MCF7	drugB	0	2	48	1	268	0.632656
MCF7	drugB	0	2	48	3.162	187	0.191829
MCF7	drugB	0	2	48	10	228	0.417437
MCF7	drugC	0	2	48	0.001	344	1.03101
MCF7	drugC	0	2	48	0.003162	355	1.0877
MCF7	drugC	0	2	48	0.01	315	0.880462
MCF7	drugC	0	2	48	0.03162	341	1.01552
MCF7	drugC	0	2	48	0.1	315	0.880462
MCF7	drugC	0	2	48	0.3162	341	1.01552
MCF7	drugC	0	2	48	1	298	0.791405
MCF7	drugC	0	2	48	3.162	255	0.563183
MCF7	drugC	0	2	48	10	235	0.455422
MCF7	drugD	0	2	48	0.001	397	1.30216
MCF7	drugD	0	2	48	0.003162	371	1.16975
MCF7	drugD	0	2	48	0.01	387	1.25137
MCF7	drugD	0	2	48	0.03162	320	0.906539
MCF7	drugD	0	2	48	0.1	253	0.552456
MCF7	drugD	0	2	48	0.3162	306	0.833391
MCF7	drugD	0	2	48	1	258	0.579254
MCF7	drugD	0	2	48	3.162	284	0.717585
MCF7	drugD	0	2	48	10	261	0.595302
MCF7	drugA	0	1	72	0.001	476	0.945422
MCF7	drugA	0	1	72	0.003162	535	1.08338
MCF7	drugA	0	1	72	0.01	450	0.882394
MCF7	drugA	0	1	72	0.03162	411	0.78495
MCF7	drugA	0	1	72	0.1	322	0.546973
MCF7	drugA	0	1	72	0.3162	251	0.336755
MCF7	drugA	0	1	72	1	265	0.37998
MCF7	drugA	0	1	72	3.162	257	0.355399
MCF7	drugA	0	1	72	10	246	0.321077
MCF7	drugB	0	1	72	0.001	402	0.761928
MCF7	drugB	0	1	72	0.003162	468	0.926184
MCF7	drugB	0	1	72	0.01	495	0.990584
MCF7	drugB	0	1	72	0.03162	483	0.962146
MCF7	drugB	0	1	72	0.1	464	0.916514
MCF7	drugB	0	1	72	0.3162	488	0.97403
MCF7	drugB	0	1	72	1	372	0.683598
MCF7	drugB	0	1	72	3.162	243	0.311606
MCF7	drugB	0	1	72	10	267	0.386078
MCF7	drugC	0	1	72	0.001	430	0.832879
MCF7	drugC	0	1	72	0.003162	490	0.97877
MCF7	drugC	0	1	72	0.01	529	1.06965
MCF7	drugC	0	1	72	0.03162	579	1.1822
MCF7	drugC	0	1	72	0.1	446	0.872565
MCF7	drugC	0	1	72	0.3162	523	1.05585
MCF7	drugC	0	1	72	1	401	0.759356
MCF7	drugC	0	1	72	3.162	306	0.501428
MCF7	drugC	0	1	72	10	349	0.62176
MCF7	drugD	0	1	72	0.001	484	0.964527
MCF7	drugD	0	1	72	0.003162	497	0.995296
MCF7	drugD	0	1	72	0.01	564	1.14887
MCF7	drugD	0	1	72	0.03162	498	0.997649
MCF7	drugD	0	1	72	0.1	374	0.6889
MCF7	drugD	0	1	72	0.3162	369	0.675624
MCF7	drugD	0	1	72	1	354	0.635343
MCF7	drugD	0	1	72	3.162	306	0.501428
MCF7	drugD	0	1	72	10	359	0.648847
MCF7	drugA	0	2	72	0.001	479	1.09466
MCF7	drugA	0	2	72	0.003162	450	1.0116
MCF7	drugA	0	2	72	0.01	493	1.13413
MCF7	drugA	0	2	72	0.03162	476	1.08616
MCF7	drugA	0	2	72	0.1	324	0.625967
MCF7	drugA	0	2	72	0.3162	237	0.3278
MCF7	drugA	0	2	72	1	230	0.302258
MCF7	drugA	0	2	72	3.162	239	0.335049
MCF7	drugA	0	2	72	10	222	0.27273
MCF7	drugB	0	2	72	0.001	468	1.06337
MCF7	drugB	0	2	72	0.003162	457	1.03182
MCF7	drugB	0	2	72	0.01	536	1.25294
MCF7	drugB	0	2	72	0.03162	524	1.22013
MCF7	drugB	0	2	72	0.1	542	1.26925
MCF7	drugB	0	2	72	0.3162	508	1.17597
MCF7	drugB	0	2	72	1	398	0.857768
MCF7	drugB	0	2	72	3.162	302	0.553556
MCF7	drugB	0	2	72	10	228	0.294911
MCF7	drugC	0	2	72	0.001	540	1.26382
MCF7	drugC	0	2	72	0.003162	509	1.17875
MCF7	drugC	0	2	72	0.01	525	1.22288
MCF7	drugC	0	2	72	0.03162	502	1.15929
MCF7	drugC	0	2	72	0.1	447	1.0029
MCF7	drugC	0	2	72	0.3162	543	1.27196
MCF7	drugC	0	2	72	1	388	0.827392
MCF7	drugC	0	2	72	3.162	264	0.423932
MCF7	drugC	0	2	72	10	333	0.655088
MCF7	drugD	0	2	72	0.001	522	1.21464
MCF7	drugD	0	2	72	0.003162	466	1.05766
MCF7	drugD	0	2	72	0.01	470	1.06908
MCF7	drugD	0	2	72	0.03162	440	0.982527
MCF7	drugD	0	2	72	0.1	394	0.84565
MCF7	drugD	0	2	72	0.3162	351	0.71251
MCF7	drugD	0	2	72	1	356	0.728276
MCF7	drugD	0	2	72	3.162	364	0.753339
MCF7	drugD	0	2	72	10	315	0.596561
MCF7	drugA	1	1	48	0.001	282	0.855263
MCF7	drugA	1	1	48	0.003162	335	1.20395
MCF7	drugA	1	1	48	0.01	306	1.01316
MCF7	drugA	1	1	48	0.03162	293	0.927632
MCF7	drugA	1	1	48	0.1	265	0.743421
MCF7	drugA	1	1	48	0.3162	196	0.289474
MCF7	drugA	1	1	48	1	238	0.565789
MCF7	drugA	1	1	48	3.162	174	0.144737
MCF7	drugA	1	1	48	10	214	0.407895
MCF7	drugB	1	1	48	0.001	314	1.06579
MCF7	drugB	1	1	48	0.003162	297	0.953947
MCF7	drugB	1	1	48	0.01	292	0.921053
MCF7	drugB	1	1	48	0.03162	272	0.789474
MCF7	drugB	1	1	48	0.1	345	1.26974
MCF7	drugB	1	1	48	0.3162	356	1.34211
MCF7	drugB	1	1	48	1	272	0.789474
MCF7	drugB	1	1	48	3.162	223	0.467105
MCF7	drugB	1	1	48	10	239	0.572368
MCF7	drugC	1	1	48	0.001	317	1.08553
MCF7	drugC	1	1	48	0.003162	306	1.01316
MCF7	drugC	1	1	48	0.01	291	0.914474
MCF7	drugC	1	1	48	0.03162	293	0.927632
MCF7	drugC	1	1	48	0.1	347	1.28289
MCF7	drugC	1	1	48	0.3162	342	1.25
MCF7	drugC	1	1	48	1	292	0.921053
MCF7	drugC	1	1	48	3.162	197	0.296053
MCF7	drugC	1	1	48	10	229	0.506579
MCF7	drugD	1	1	48	0.001	254	0.671053
MCF7	drugD	1	1	48	0.003162	282	0.855263
MCF7	drugD	1	1	48	0.01	293	0.927632
MCF7	drugD	1	1	48	0.03162	325	1.13816
MCF7	drugD	1	1	48	0.1	272	0.789474
MCF7	drugD	1	1	48	0.3162	260	0.710526
MCF7	drugD	1	1	48	1	221	0.453947
MCF7	drugD	1	1	48	3.162	210	0.381579
MCF7	drugD	1	1	48	10	303	0.993421
MCF7	drugA	1	2	48	0.001	336	1.04391
MCF7	drugA	1	2	48	0.003162	369	1.22397
MCF7	drugA	1	2	48	0.01	320	0.955985
MCF7	drugA	1	2	48	0.03162	355	1.14778
MCF7	drugA	1	2	48	0.1	257	0.605298
MCF7	drugA	1	2	48	0.3162	217	0.378291
MCF7	drugA	1	2	48	1	240	0.509281
MCF7	drugA	1	2	48	3.162	219	0.389734
MCF7	drugA	1	2	48	10	175	0.1354
MCF7	drugB	1	2	48	0.001	312	0.911862
MCF7	drugB	1	2	48	0.003162	359	1.16958
MCF7	drugB	1	2	48	0.01	363	1.19135
MCF7	drugB	1	2	48	0.03162	316	0.933937
MCF7	drugB	1	2	48	0.1	338	1.05487
MCF7	drugB	1	2	48	0.3162	299	0.839921
MCF7	drugB	1	2	48	1	312	0.911862
MCF7	drugB	1	2	48	3.162	268	0.66709
MCF7	drugB	1	2	48	10	178	0.152926
MCF7	drugC	1	2	48	0.001	351	1.12596
MCF7	drugC	1	2	48	0.003162	390	1.33772
MCF7	drugC	1	2	48	0.01	321	0.961493
MCF7	drugC	1	2	48	0.03162	381	1.28905
MCF7	drugC	1	2	48	0.1	396	1.37011
MCF7	drugC	1	2	48	0.3162	313	0.917383
MCF7	drugC	1	2	48	1	361	1.18047
MCF7	drugC	1	2	48	3.162	258	0.610926
MCF7	drugC	1	2	48	10	208	0.326667
MCF7	drugD	1	2	48	0.001	340	1.06582
MCF7	drugD	1	2	48	0.003162	372	1.24026
MCF7	drugD	1	2	48	0.01	309	0.895287
MCF7	drugD	1	2	48	0.03162	300	0.845466
MCF7	drugD	1	2	48	0.1	366	1.20767
MCF7	drugD	1	2	48	0.3162	285	0.762099
MCF7	drugD	1	2	48	1	271	0.683899
MCF7	drugD	1	2	48	3.162	256	0.599668
MCF7	drugD	1	2	48	10	255	0.594035
MCF7	drugA	1	1	72	0.001	456	0.905928
MCF7	drugA	1	1	72	0.003162	485	0.97618
MCF7	drugA	1	1	72	0.01	468	0.935215
MCF7	drugA	1	1	72	0.03162	416	0.805921
MCF7	drugA	1	1	72	0.1	311	0.52241
MCF7	drugA	1	1	72	0.3162	274	0.413308
MCF7	drugA	1	1	72	1	234	0.288255
MCF7	drugA	1	1	72	3.162	236	0.294708
MCF7	drugA	1	1	72	10	256	0.358038
MCF7	drugB	1	1	72	0.001	404	0.775153
MCF7	drugB	1	1	72	0.003162	456	0.905928
MCF7	drugB	1	1	72	0.01	434	0.851394
MCF7	drugB	1	1	72	0.03162	442	0.871354
MCF7	drugB	1	1	72	0.1	548	1.12307
MCF7	drugB	1	1	72	0.3162	410	0.790584
MCF7	drugB	1	1	72	1	408	0.785451
MCF7	drugB	1	1	72	3.162	277	0.422372
MCF7	drugB	1	1	72	10	213	0.219068
MCF7	drugC	1	1	72	0.001	425	0.828757
MCF7	drugC	1	1	72	0.003162	416	0.805921
MCF7	drugC	1	1	72	0.01	471	0.942488
MCF7	drugC	1	1	72	0.03162	481	0.966595
MCF7	drugC	1	1	72	0.1	508	1.03067
