cell_line	agent	perturbation	replicate	time	concentration	cell_count
MCF10A	drugD	0	1	72	0.001	632
MCF10A	drugD	0	1	72	0.003162	697
MCF10A	drugD	0	1	72	0.01	627
MCF10A	drugD	0	1	72	0.03162	497
MCF10A	drugD	0	1	72	0.1	451
MCF10A	drugD	0	1	72	0.3162	169
MCF10A	drugD	0	1	72	1	134
MCF10A	drugD	0	1	72	3.162	146
MCF10A	drugD	0	1	72	10	155
MCF10A	drugA	0	2	72	0.001	696
MCF10A	drugA	0	2	72	0.003162	648
MCF10A	drugA	0	2	72	0.01	575
MCF10A	drugA	0	2	72	0.03162	704
MCF10A	drugA	0	2	72	0.1	595
MCF10A	drugA	0	2	72	0.3162	529
MCF10A	drugA	0	2	72	1	610
MCF10A	drugA	0	2	72	3.162	377
MCF10A	drugA	0	2	72	10	232
MCF10A	drugB	0	2	72	0.001	633
MCF10A	drugB	0	2	72	0.003162	538
MCF10A	drugB	0	2	72	0.01	532
MCF10A	drugB	0	2	72	0.03162	658
MCF10A	drugB	0	2	72	0.1	505
MCF10A	drugB	0	2	72	0.3162	458
MCF10A	drugB	0	2	72	1	332
MCF10A	drugB	0	2	72	3.162	173
MCF10A	drugB	0	2	72	10	198
MCF10A	drugC	0	2	72	0.001	509
MCF10A	drugC	0	2	72	0.003162	582
MCF10A	drugC	0	2	72	0.01	644
MCF10A	drugC	0	2	72	0.03162	594
MCF10A	drugC	0	2	72	0.1	551
MCF10A	drugC	0	2	72	0.3162	481
MCF10A	drugC	0	2	72	1	385
MCF10A	drugC	0	2	72	3.162	341
MCF10A	drugC	0	2	72	10	340
MCF10A	drugD	0	2	72	0.001	642
MCF10A	drugD	0	2	72	0.003162	563
MCF10A	drugD	0	2	72	0.01	542
MCF10A	drugD	0	2	72	0.03162	601
MCF10A	drugD	0	2	72	0.1	374
MCF10A	drugD	0	2	72	0.3162	190
MCF10A	drugD	0	2	72	1	128
MCF10A	drugD	0	2	72	3.162	132
MCF10A	drugD	0	2	72	10	117
MCF10A	drugA	1	1	48	0.001	247
MCF10A	drugA	1	1	48	0.003162	289
MCF10A	drugA	1	1	48	0.01	282
MCF10A	drugA	1	1	48	0.03162	264
MCF10A	drugA	1	1	48	0.1	310
MCF10A	drugA	1	1	48	0.3162	307
MCF10A	drugA	1	1	48	1	206
MCF10A	drugA	1	1	48	3.162	176
MCF10A	drugA	1	1	48	10	156
MCF10A	drugB	1	1	48	0.001	240
MCF10A	drugB	1	1	48	0.003162	271
MCF10A	drugB	1	1	48	0.01	297
MCF10A	drugB	1	1	48	0.03162	264
MCF10A	drugB	1	1	48	0.1	247
MCF10A	drugB	1	1	48	0.3162	250
MCF10A	drugB	1	1	48	1	190
MCF10A	drugB	1	1	48	3.162	140
MCF10A	drugB	1	1	48	10	124
MCF10A	drugC	1	1	48	0.001	284
MCF10A	drugC	1	1	48	0.003162	290
MCF10A	drugC	1	1	48	0.01	296
MCF10A	drugC	1	1	48	0.03162	260
MCF10A	drugC	1	1	48	0.1	265
MCF10A	drugC	1	1	48	0.3162	221
MCF10A	drugC	1	1	48	1	213
MCF10A	drugC	1	1	48	3.162	194
MCF10A	drugC	1	1	48	10	209
MCF10A	drugD	1	1	48	0.001	230
MCF10A	drugD	1	1	48	0.003162	273
MCF10A	drugD	1	1	48	0.01	296
MCF10A	drugD	1	1	48	0.03162	265
MCF10A	drugD	1	1	48	0.1	215
MCF10A	drugD	1	1	48	0.3162	144
MCF10A	drugD	1	1	48	1	102
MCF10A	drugD	1	1	48	3.162	126
MCF10A	drugD	1	1	48	10	128
MCF10A	drugA	1	2	48	0.001	258
MCF10A	drugA	1	2	48	0.003162	257
MCF10A	drugA	1	2	48	0.01	239
MCF10A	drugA	1	2	48	0.03162	264
MCF10A	drugA	1	2	48	0.1	240
MCF10A	drugA	1	2	48	0.3162	235
MCF10A	drugA	1	2	48	1	247
MCF10A	drugA	1	2	48	3.162	183
MCF10A	drugA	1	2	48	10	163
MCF10A	drugB	1	2	48	0.001	236
MCF10A	drugB	1	2	48	0.003162	281
MCF10A	drugB	1	2	48	0.01	231
MCF10A	drugB	1	2	48	0.03162	264
MCF10A	drugB	1	2	48	0.1	262
MCF10A	drugB	1	2	48	0.3162	250
MCF10A	drugB	1	2	48	1	207
MCF10A	drugB	1	2	48	3.162	133
MCF10A	drugB	1	2	48	10	158
MCF10A	drugC	1	2	48	0.001	305
MCF10A	drugC	1	2	48	0.003162	282
MCF10A	drugC	1	2	48	0.01	265
MCF10A	drugC	1	2	48	0.03162	302
MCF10A	drugC	1	2	48	0.1	252
MCF10A	drugC	1	2	48	0.3162	215
MCF10A	drugC	1	2	48	1	221
MCF10A	drugC	1	2	48	3.162	187
MCF10A	drugC	1	2	48	10	211
MCF10A	drugD	1	2	48	0.001	293
MCF10A	drugD	1	2	48	0.003162	212
MCF10A	drugD	1	2	48	0.01	227
MCF10A	drugD	1	2	48	0.03162	290
MCF10A	drugD	1	2	48	0.1	203
MCF10A	drugD	1	2	48	0.3162	124
MCF10A	drugD	1	2	48	1	132
MCF10A	drugD	1	2	48	3.162	103
MCF10A	drugD	1	2	48	10	111
MCF10A	drugA	1	1	72	0.001	455
MCF10A	drugA	1	1	72	0.003162	418
MCF10A	drugA	1	1	72	0.01	485
MCF10A	drugA	1	1	72	0.03162	450
MCF10A	drugA	1	1	72	0.1	357
MCF10A	drugA	1	1	72	0.3162	454
MCF10A	drugA	1	1	72	1	393
MCF10A	drugA	1	1	72	3.162	265
MCF10A	drugA	1	1	72	10	196
MCF10A	drugB	1	1	72	0.001	358
MCF10A	drugB	1	1	72	0.003162	387
MCF10A	drugB	1	1	72	0.01	396
MCF10A	drugB	1	1	72	0.03162	389
MCF10A	drugB	1	1	72	0.1	418
MCF10A	drugB	1	1	72	0.3162	409
MCF10A	drugB	1	1	72	1	373
MCF10A	drugB	1	1	72	3.162	209
MCF10A	drugB	1	1	72	10	140
MCF10A	drugC	1	1	72	0.001	457
MCF10A	drugC	1	1	72	0.003162	429
MCF10A	drugC	1	1	72	0.01	461
MCF10A	drugC	1	1	72	0.03162	455
MCF10A	drugC	1	1	72	0.1	419
MCF10A	drugC	1	1	72	0.3162	332
MCF10A	drugC	1	1	72	1	258
MCF10A	drugC	1	1	72	3.162	337
MCF10A	drugC	1	1	72	10	319
MCF10A	drugD	1	1	72	0.001	380
MCF10A	drugD	1	1	72	0.003162	515
MCF10A	drugD	1	1	72	0.01	399
MCF10A	drugD	1	1	72	0.03162	342
MCF10A	drugD	1	1	72	0.1	249
MCF10A	drugD	1	1	72	0.3162	160
MCF10A	drugD	1	1	72	1	134
MCF10A	drugD	1	1	72	3.162	108
MCF10A	drugD	1	1	72	10	121
MCF10A	drugA	1	2	72	0.001	470
MCF10A	drugA	1	2	72	0.003162	464
MCF10A	drugA	1	2	72	0.01	463
MCF10A	drugA	1	2	72	0.03162	446
MCF10A	drugA	1	2	72	0.1	449
MCF10A	drugA	1	2	72	0.3162	455
MCF10A	drugA	1	2	72	1	305
MCF10A	drugA	1	2	72	3.162	253
MCF10A	drugA	1	2	72	10	203
MCF10A	drugB	1	2	72	0.001	479
MCF10A	drugB	1	2	72	0.003162	459
MCF10A	drugB	1	2	72	0.01	482
MCF10A	drugB	1	2	72	0.03162	360
MCF10A	drugB	1	2	72	0.1	363
MCF10A	drugB	1	2	72	0.3162	438
MCF10A	drugB	1	2	72	1	341
MCF10A	drugB	1	2	72	3.162	167
MCF10A	drugB	1	2	72	10	166
MCF10A	drugC	1	2	72	0.001	402
MCF10A	drugC	1	2	72	0.003162	431
MCF10A	drugC	1	2	72	0.01	475
MCF10A	drugC	1	2	72	0.03162	452
MCF10A	drugC	1	2	72	0.1	438
MCF10A	drugC	1	2	72	0.3162	339
MCF10A	drugC	1	2	72	1	272
MCF10A	drugC	1	2	72	3.162	336
MCF10A	drugC	1	2	72	10	253
MCF10A	drugD	1	2	72	0.001	400
MCF10A	drugD	1	2	72	0.003162	358
MCF10A	drugD	1	2	72	0.01	454
MCF10A	drugD	1	2	72	0.03162	355
MCF10A	drugD	1	2	72	0.1	300
MCF10A	drugD	1	2	72	0.3162	176
MCF10A	drugD	1	2	72	1	142
MCF10A	drugD	1	2	72	3.162	138
MCF10A	drugD	1	2	72	10	121
MCF7	drugA	0	1	48	0.001	362
MCF7	drugA	0	1	48	0.003162	332
MCF7	drugA	0	1	48	0.01	328
MCF7	drugA	0	1	48	0.03162	303
MCF7	drugA	0	1	48	0.1	234
MCF7	drugA	0	1	48	0.3162	219
MCF7	drugA	0	1	48	1	219
MCF7	drugA	0	1	48	3.162	183
MCF7	drugA	0	1	48	10	176
MCF7	drugB	0	1	48	0.001	311
MCF7	drugB	0	1	48	0.003162	337
MCF7	drugB	0	1	48	0.01	328
MCF7	drugB	0	1	48	0.03162	282
MCF7	drugB	0	1	48	0.1	322
MCF7	drugB	0	1	48	0.3162	321
MCF7	drugB	0	1	48	1	288
MCF7	drugB	0	1	48	3.162	220
MCF7	drugB	0	1	48	10	236
MCF7	drugC	0	1	48	0.001	359
MCF7	drugC	0	1	48	0.003162	272
MCF7	drugC	0	1	48	0.01	272
MCF7	drugC	0	1	48	0.03162	348
MCF7	drugC	0	1	48	0.1	360
MCF7	drugC	0	1	48	0.3162	273
MCF7	drugC	0	1	48	1	264
MCF7	drugC	0	1	48	3.162	226
MCF7	drugC	0	1	48	10	216
MCF7	drugD	0	1	48	0.001	357
MCF7	drugD	0	1	48	0.003162	356
MCF7	drugD	0	1	48	0.01	320
MCF7	drugD	0	1	48	0.03162	325
MCF7	drugD	0	1	48	0.1	300
MCF7	drugD	0	1	48	0.3162	295
MCF7	drugD	0	1	48	1	254
MCF7	drugD	0	1	48	3.162	280
MCF7	drugD	0	1	48	10	269
MCF7	drugA	0	2	48	0.001	288
MCF7	drugA	0	2	48	0.003162	383
MCF7	drugA	0	2	48	0.01	332
MCF7	drugA	0	2	48	0.03162	275
MCF7	drugA	0	2	48	0.1	273
MCF7	drugA	0	2	48	0.3162	243
MCF7	drugA	0	2	48	1	235
MCF7	drugA	0	2	48	3.162	204
MCF7	drugA	0	2	48	10	203
MCF7	drugB	0	2	48	0.001	399
MCF7	drugB	0	2	48	0.003162	392
MCF7	drugB	0	2	48	0.01	288
MCF7	drugB	0	2	48	0.03162	357
MCF7	drugB	0	2	48	0.1	309
MCF7	drugB	0	2	48	0.3162	386
MCF7	drugB	0	2	48	1	268
MCF7	drugB	0	2	48	3.162	187
MCF7	drugB	0	2	48	10	228
MCF7	drugC	0	2	48	0.001	344
MCF7	drugC	0	2	48	0.003162	355
MCF7	drugC	0	2	48	0.01	315
MCF7	drugC	0	2	48	0.03162	341
MCF7	drugC	0	2	48	0.1	315
MCF7	drugC	0	2	48	0.3162	341
MCF7	drugC	0	2	48	1	298
MCF7	drugC	0	2	48	3.162	255
MCF7	drugC	0	2	48	10	235
MCF7	drugD	0	2	48	0.001	397
MCF7	drugD	0	2	48	0.003162	371
MCF7	drugD	0	2	48	0.01	387
MCF7	drugD	0	2	48	0.03162	320
MCF7	drugD	0	2	48	0.1	253
MCF7	drugD	0	2	48	0.3162	306
MCF7	drugD	0	2	48	1	258
MCF7	drugD	0	2	48	3.162	284
MCF7	drugD	0	2	48	10	261
MCF7	drugA	0	1	72	0.001	476
MCF7	drugA	0	1	72	0.003162	535
MCF7	drugA	0	1	72	0.01	450
MCF7	drugA	0	1	72	0.03162	411
MCF7	drugA	0	1	72	0.1	322
MCF7	drugA	0	1	72	0.3162	251
MCF7	drugA	0	1	72	1	265
MCF7	drugA	0	1	72	3.162	257
MCF7	drugA	0	1	72	10	246
MCF7	drugB	0	1	72	0.001	402
MCF7	drugB	0	1	72	0.003162	468
MCF7	drugB	0	1	72	0.01	495
MCF7	drugB	0	1	72	0.03162	483
MCF7	drugB	0	1	72	0.1	464
MCF7	drugB	0	1	72	0.3162	488
MCF7	drugB	0	1	72	1	372
MCF7	drugB	0	1	72	3.162	243
MCF7	drugB	0	1	72	10	267
MCF7	drugC	0	1	72	0.001	430
MCF7	drugC	0	1	72	0.003162	490
MCF7	drugC	0	1	72	0.01	529
MCF7	drugC	0	1	72	0.03162	579
MCF7	drugC	0	1	72	0.1	446
MCF7	drugC	0	1	72	0.3162	523
MCF7	drugC	0	1	72	1	401
MCF7	drugC	0	1	72	3.162	306
MCF7	drugC	0	1	72	10	349
MCF7	drugD	0	1	72	0.001	484
MCF7	drugD	0	1	72	0.003162	497
MCF7	drugD	0	1	72	0.01	564
MCF7	drugD	0	1	72	0.03162	498
MCF7	drugD	0	1	72	0.1	374
MCF7	drugD	0	1	72	0.3162	369
MCF7	drugD	0	1	72	1	354
MCF7	drugD	0	1	72	3.162	306
MCF7	drugD	0	1	72	10	359
MCF7	drugA	0	2	72	0.001	479
MCF7	drugA	0	2	72	0.003162	450
MCF7	drugA	0	2	72	0.01	493
MCF7	drugA	0	2	72	0.03162	476
MCF7	drugA	0	2	72	0.1	324
MCF7	drugA	0	2	72	0.3162	237
MCF7	drugA	0	2	72	1	230
MCF7	drugA	0	2	72	3.162	239
MCF7	drugA	0	2	72	10	222
MCF7	drugB	0	2	72	0.001	468
MCF7	drugB	0	2	72	0.003162	457
MCF7	drugB	0	2	72	0.01	536
MCF7	drugB	0	2	72	0.03162	524
MCF7	drugB	0	2	72	0.1	542
MCF7	drugB	0	2	72	0.3162	508
MCF7	drugB	0	2	72	1	398
MCF7	drugB	0	2	72	3.162	302
MCF7	drugB	0	2	72	10	228
MCF7	drugC	0	2	72	0.001	540
MCF7	drugC	0	2	72	0.003162	509
MCF7	drugC	0	2	72	0.01	525
MCF7	drugC	0	2	72	0.03162	502
MCF7	drugC	0	2	72	0.1	447
MCF7	drugC	0	2	72	0.3162	543
MCF7	drugC	0	2	72	1	388
MCF7	drugC	0	2	72	3.162	264
MCF7	drugC	0	2	72	10	333
MCF7	drugD	0	2	72	0.001	522
MCF7	drugD	0	2	72	0.003162	466
MCF7	drugD	0	2	72	0.01	470
MCF7	drugD	0	2	72	0.03162	440
MCF7	drugD	0	2	72	0.1	394
MCF7	drugD	0	2	72	0.3162	351
MCF7	drugD	0	2	72	1	356
MCF7	drugD	0	2	72	3.162	364
MCF7	drugD	0	2	72	10	315
MCF7	drugA	1	1	48	0.001	282
MCF7	drugA	1	1	48	0.003162	335
MCF7	drugA	1	1	48	0.01	306
MCF7	drugA	1	1	48	0.03162	293
MCF7	drugA	1	1	48	0.1	265
MCF7	drugA	1	1	48	0.3162	196
MCF7	drugA	1	1	48	1	238
MCF7	drugA	1	1	48	3.162	174
MCF7	drugA	1	1	48	10	214
MCF7	drugB	1	1	48	0.001	314
MCF7	drugB	1	1	48	0.003162	297
MCF7	drugB	1	1	48	0.01	292
MCF7	drugB	1	1	48	0.03162	272
MCF7	drugB	1	1	48	0.1	345
MCF7	drugB	1	1	48	0.3162	356
MCF7	drugB	1	1	48	1	272
MCF7	drugB	1	1	48	3.162	223
MCF7	drugB	1	1	48	10	239
MCF7	drugC	1	1	48	0.001	317
MCF7	drugC	1	1	48	0.003162	306
MCF7	drugC	1	1	48	0.01	291
MCF7	drugC	1	1	48	0.03162	293
MCF7	drugC	1	1	48	0.1	347
MCF7	drugC	1	1	48	0.3162	342
MCF7	drugC	1	1	48	1	292
MCF7	drugC	1	1	48	3.162	197
MCF7	drugC	1	1	48	10	229
MCF7	drugD	1	1	48	0.001	254
MCF7	drugD	1	1	48	0.003162	282
MCF7	drugD	1	1	48	0.01	293
MCF7	drugD	1	1	48	0.03162	325
MCF7	drugD	1	1	48	0.1	272
MCF7	drugD	1	1	48	0.3162	260
MCF7	drugD	1	1	48	1	221
MCF7	drugD	1	1	48	3.162	210
MCF7	drugD	1	1	48	10	303
MCF7	drugA	1	2	48	0.001	336
MCF7	drugA	1	2	48	0.003162	369
MCF7	drugA	1	2	48	0.01	320
MCF7	drugA	1	2	48	0.03162	355
MCF7	drugA	1	2	48	0.1	257
MCF7	drugA	1	2	48	0.3162	217
MCF7	drugA	1	2	48	1	240
MCF7	drugA	1	2	48	3.162	219
MCF7	drugA	1	2	48	10	175
MCF7	drugB	1	2	48	0.001	312
MCF7	drugB	1	2	48	0.003162	359
MCF7	drugB	1	2	48	0.01	363
MCF7	drugB	1	2	48	0.03162	316
MCF7	drugB	1	2	48	0.1	338
MCF7	drugB	1	2	48	0.3162	299
MCF7	drugB	1	2	48	1	312
MCF7	drugB	1	2	48	3.162	268
MCF7	drugB	1	2	48	10	178
MCF7	drugC	1	2	48	0.001	351
MCF7	drugC	1	2	48	0.003162	390
MCF7	drugC	1	2	48	0.01	321
MCF7	drugC	1	2	48	0.03162	381
MCF7	drugC	1	2	48	0.1	396
MCF7	drugC	1	2	48	0.3162	313
MCF7	drugC	1	2	48	1	361
MCF7	drugC	1	2	48	3.162	258
MCF7	drugC	1	2	48	10	208
MCF7	drugD	1	2	48	0.001	340
MCF7	drugD	1	2	48	0.003162	372
MCF7	drugD	1	2	48	0.01	309
MCF7	drugD	1	2	48	0.03162	300
MCF7	drugD	1	2	48	0.1	366
MCF7	drugD	1	2	48	0.3162	285
MCF7	drugD	1	2	48	1	271
MCF7	drugD	1	2	48	3.162	256
MCF7	drugD	1	2	48	10	255
MCF7	drugA	1	1	72	0.001	456
MCF7	drugA	1	1	72	0.003162	485
MCF7	drugA	1	1	72	0.01	468
MCF7	drugA	1	1	72	0.03162	416
MCF7	drugA	1	1	72	0.1	311
MCF7	drugA	1	1	72	0.3162	274
MCF7	drugA	1	1	72	1	234
MCF7	drugA	1	1	72	3.162	236
MCF7	drugA	1	1	72	10	256
MCF7	drugB	1	1	72	0.001	404
MCF7	drugB	1	1	72	0.003162	456
MCF7	drugB	1	1	72	0.01	434
MCF7	drugB	1	1	72	0.03162	442
MCF7	drugB	1	1	72	0.1	548
MCF7	drugB	1	1	72	0.3162	410
MCF7	drugB	1	1	72	1	408
MCF7	drugB	1	1	72	3.162	277
MCF7	drugB	1	1	72	10	213
MCF7	drugC	1	1	72	0.001	425
MCF7	drugC	1	1	72	0.003162	416
MCF7	drugC	1	1	72	0.01	471
MCF7	drugC	1	1	72	0.03162	481
MCF7	drugC	1	1	72	0.1	508
MCF7	drugC	1	1	72	0.3162	469
MCF7	drugC	1	1	72	1	390
MCF7	drugC	1	1	72	3.162	326
MCF7	drugC	1	1	72	10	336
MCF7	drugD	1	1	72	0.001	505
MCF7	drugD	1	1	72	0.003162	439
MCF7	drugD	1	1	72	0.01	487
MCF7	drugD	1	1	72	0.03162	540
MCF7	drugD	1	1	72	0.1	418
MCF7	drugD	1	1	72	0.3162	362
MCF7	drugD	1	1	72	1	380
MCF7	drugD	1	1	72	3.162	334
MCF7	drugD	1	1	72	10	360
MCF7	drugA	1	2	72	0.001	453
MCF7	drugA	1	2	72	0.003162	529
MCF7	drugA	1	2	72	0.01	420
MCF7	drugA	1	2	72	0.03162	451
MCF7	drugA	1	2	72	0.1	275
MCF7	drugA	1	2	72	0.3162	289
MCF7	drugA	1	2	72	1	256
MCF7	drugA	1	2	72	3.162	216
MCF7	drugA	1	2	72	10	225
MCF7	drugB	1	2	72	0.001	497
MCF7	drugB	1	2	72	0.003162	433
MCF7	drugB	1	2	72	0.01	461
MCF7	drugB	1	2	72	0.03162	401
MCF7	drugB	1	2	72	0.1	496
MCF7	drugB	1	2	72	0.3162	496
MCF7	drugB	1	2	72	1	433
MCF7	drugB	1	2	72	3.162	339
MCF7	drugB	1	2	72	10	275
MCF7	drugC	1	2	72	0.001	549
MCF7	drugC	1	2	72	0.003162	457
MCF7	drugC	1	2	72	0.01	503
MCF7	drugC	1	2	72	0.03162	493
MCF7	drugC	1	2	72	0.1	400
MCF7	drugC	1	2	72	0.3162	497
MCF7	drugC	1	2	72	1	357
MCF7	drugC	1	2	72	3.162	307
MCF7	drugC	1	2	72	10	295
MCF7	drugD	1	2	72	0.001	441
MCF7	drugD	1	2	72	0.003162	478
MCF7	drugD	1	2	72	0.01	427
MCF7	drugD	1	2	72	0.03162	491
MCF7	drugD	1	2	72	0.1	421
MCF7	drugD	1	2	72	0.3162	399
MCF7	drugD	1	2	72	1	308
MCF7	drugD	1	2	72	3.162	360
MCF7	drugD	1	2	72	10	376
BT20	drugA	0	1	48	0.001	435
BT20	drugA	0	1	48	0.003162	399
BT20	drugA	0	1	48	0.01	380
BT20	drugA	0	1	48	0.03162	486
BT20	drugA	0	1	48	0.1	380
BT20	drugA	0	1	48	0.3162	447
BT20	drugA	0	1	48	1	397
BT20	drugA	0	1	48	3.162	464
BT20	drugA	0	1	48	10	362
BT20	drugB	0	1	48	0.001	439
BT20	drugB	0	1	48	0.003162	487
BT20	drugB	0	1	48	0.01	393
BT20	drugB	0	1	48	0.03162	440
BT20	drugB	0	1	48	0.1	424
BT20	drugB	0	1	48	0.3162	384
BT20	drugB	0	1	48	1	418
BT20	drugB	0	1	48	3.162	351
BT20	drugB	0	1	48	10	372
BT20	drugC	0	1	48	0.001	380
BT20	drugC	0	1	48	0.003162	495
BT20	drugC	0	1	48	0.01	414
BT20	drugC	0	1	48	0.03162	379
BT20	drugC	0	1	48	0.1	417
BT20	drugC	0	1	48	0.3162	381
BT20	drugC	0	1	48	1	352
BT20	drugC	0	1	48	3.162	355
BT20	drugC	0	1	48	10	380
BT20	drugD	0	1	48	0.001	424
BT20	drugD	0	1	48	0.003162	409
BT20	drugD	0	1	48	0.01	438
BT20	drugD	0	1	48	0.03162	384
BT20	drugD	0	1	48	0.1	322
BT20	drugD	0	1	48	0.3162	288
BT20	drugD	0	1	48	1	247
BT20	drugD	0	1	48	3.162	286
BT20	drugD	0	1	48	10	271
BT20	drugA	0	2	48	0.001	493
BT20	drugA	0	2	48	0.003162	477
BT20	drugA	0	2	48	0.01	456
BT20	drugA	0	2	48	0.03162	458
BT20	drugA	0	2	48	0.1	546
BT20	drugA	0	2	48	0.3162	546
BT20	drugA	0	2	48	1	455
BT20	drugA	0	2	48	3.162	403
BT20	drugA	0	2	48	10	363
BT20	drugB	0	2	48	0.001	446
BT20	drugB	0	2	48	0.003162	466
BT20	drugB	0	2	48	0.01	449
BT20	drugB	0	2	48	0.03162	549
BT20	drugB	0	2	48	0.1	496
BT20	drugB	0	2	48	0.3162	417
BT20	drugB	0	2	48	1	467
BT20	drugB	0	2	48	3.162	390
BT20	drugB	0	2	48	10	414
BT20	drugC	0	2	48	0.001	470
BT20	drugC	0	2	48	0.003162	532
BT20	drugC	0	2	48	0.01	483
BT20	drugC	0	2	48	0.03162	429
BT20	drugC	0	2	48	0.1	365
BT20	drugC	0	2	48	0.3162	402
BT20	drugC	0	2	48	1	320
BT20	drugC	0	2	48	3.162	388
BT20	drugC	0	2	48	10	361
BT20	drugD	0	2	48	0.001	499
BT20	drugD	0	2	48	0.003162	522
BT20	drugD	0	2	48	0.01	515
BT20	drugD	0	2	48	0.03162	353
BT20	drugD	0	2	48	0.1	297
BT20	drugD	0	2	48	0.3162	243
BT20	drugD	0	2	48	1	325
BT20	drugD	0	2	48	3.162	313
BT20	drugD	0	2	48	10	301
BT20	drugA	0	3	48	0.001	459
BT20	drugA	0	3	48	0.003162	382
BT20	drugA	0	3	48	0.01	496
BT20	drugA	0	3	48	0.03162	523
BT20	drugA	0	3	48	0.1	492
BT20	drugA	0	3	48	0.3162	415
BT20	drugA	0	3	48	1	447
BT20	drugA	0	3	48	3.162	483
BT20	drugA	0	3	48	10	422
