cell_line	agent	perturbation	replicate	time	concentration	cell_count	cell_count__ctrl	cell_count__time0	ctrl_tag	time0_tag	GRvalue
MCF10A	-	0	1	48	0	295	344	94	c_1	t0_1	NaN
MCF10A	-	0	1	48	0	360	344	94	c_1	t0_1	NaN
MCF10A	-	0	1	48	0	397	344	94	c_1	t0_1	NaN
MCF10A	drugA	0	1	48	0.001	359	344	94	c_1	t0_1	1.04613
MCF10A	drugA	0	1	48	0.003162	399	344	94	c_1	t0_1	1.16494
MCF10A	drugA	0	1	48	0.01	405	344	94	c_1	t0_1	1.18227
MCF10A	drugA	0	1	48	0.03162	334	344	94	c_1	t0_1	0.968724
MCF10A	drugA	0	1	48	0.1	360	344	94	c_1	t0_1	1.04917
MCF10A	drugA	0	1	48	0.3162	347	344	94	c_1	t0_1	1.0093
MCF10A	drugA	0	1	48	1	324	344	94	c_1	t0_1	0.937008
MCF10A	drugA	0	1	48	3.162	164	344	94	c_1	t0_1	0.346307
MCF10A	drugA	0	1	48	10	156	344	94	c_1	t0_1	0.310811
MCF10A	drugB	0	1	48	0.001	289	344	94	c_1	t0_1	0.822242
MCF10A	drugB	0	1	48	0.003162	355	344	94	c_1	t0_1	1.03392
MCF10A	drugB	0	1	48	0.01	391	344	94	c_1	t0_1	1.14164
MCF10A	drugB	0	1	48	0.03162	349	344	94	c_1	t0_1	1.01548
MCF10A	drugB	0	1	48	0.1	356	344	94	c_1	t0_1	1.03698
MCF10A	drugB	0	1	48	0.3162	322	344	94	c_1	t0_1	0.930611
MCF10A	drugB	0	1	48	1	255	344	94	c_1	t0_1	0.70437
MCF10A	drugB	0	1	48	3.162	144	344	94	c_1	t0_1	0.255935
MCF10A	drugB	0	1	48	10	143	344	94	c_1	t0_1	0.251268
MCF10A	drugC	0	1	48	0.001	296	344	94	c_1	t0_1	0.845692
MCF10A	drugC	0	1	48	0.003162	332	344	94	c_1	t0_1	0.962417
MCF10A	drugC	0	1	48	0.01	342	344	94	c_1	t0_1	0.993779
MCF10A	drugC	0	1	48	0.03162	312	344	94	c_1	t0_1	0.898342
MCF10A	drugC	0	1	48	0.1	382	344	94	c_1	t0_1	1.11516
MCF10A	drugC	0	1	48	0.3162	290	344	94	c_1	t0_1	0.825608
MCF10A	drugC	0	1	48	1	219	344	94	c_1	t0_1	0.571267
MCF10A	drugC	0	1	48	3.162	240	344	94	c_1	t0_1	0.650049
MCF10A	drugC	0	1	48	10	241	344	94	c_1	t0_1	0.653718
MCF10A	drugD	0	1	48	0.001	343	344	94	c_1	t0_1	0.996892
MCF10A	drugD	0	1	48	0.003162	291	344	94	c_1	t0_1	0.828969
MCF10A	drugD	0	1	48	0.01	308	344	94	c_1	t0_1	0.8853
MCF10A	drugD	0	1	48	0.03162	316	344	94	c_1	t0_1	0.911307
MCF10A	drugD	0	1	48	0.1	230	344	94	c_1	t0_1	0.612952
MCF10A	drugD	0	1	48	0.3162	160	344	94	c_1	t0_1	0.328662
MCF10A	drugD	0	1	48	1	114	344	94	c_1	t0_1	0.108563
MCF10A	drugD	0	1	48	3.162	127	344	94	c_1	t0_1	0.174404
MCF10A	drugD	0	1	48	10	115	344	94	c_1	t0_1	0.113748
MCF10A	-	0	2	48	0	322	336	94	c_2	t0_1	NaN
MCF10A	-	0	2	48	0	347	336	94	c_2	t0_1	NaN
MCF10A	-	0	2	48	0	384	336	94	c_2	t0_1	NaN
MCF10A	-	0	2	48	0	326	336	94	c_2	t0_1	NaN
MCF10A	-	0	2	48	0	354	336	94	c_2	t0_1	NaN
MCF10A	-	0	2	48	0	344	336	94	c_2	t0_1	NaN
MCF10A	-	0	2	48	0	330	336	94	c_2	t0_1	NaN
MCF10A	-	0	2	48	0	293	336	94	c_2	t0_1	NaN
MCF10A	drugA	0	2	48	0.001	349	336	94	c_2	t0_1	1.04174
MCF10A	drugA	0	2	48	0.003162	378	336	94	c_2	t0_1	1.13238
MCF10A	drugA	0	2	48	0.01	314	336	94	c_2	t0_1	0.927644
MCF10A	drugA	0	2	48	0.03162	357	336	94	c_2	t0_1	1.06708
MCF10A	drugA	0	2	48	0.1	380	336	94	c_2	t0_1	1.13851
MCF10A	drugA	0	2	48	0.3162	342	336	94	c_2	t0_1	1.01936
MCF10A	drugA	0	2	48	1	236	336	94	c_2	t0_1	0.650223
MCF10A	drugA	0	2	48	3.162	199	336	94	c_2	t0_1	0.503985
MCF10A	drugA	0	2	48	10	141	336	94	c_2	t0_1	0.246867
MCF10A	drugB	0	2	48	0.001	328	336	94	c_2	t0_1	0.973946
MCF10A	drugB	0	2	48	0.003162	311	336	94	c_2	t0_1	0.9176
MCF10A	drugB	0	2	48	0.01	291	336	94	c_2	t0_1	0.849481
MCF10A	drugB	0	2	48	0.03162	348	336	94	c_2	t0_1	1.03856
MCF10A	drugB	0	2	48	0.1	363	336	94	c_2	t0_1	1.08591
MCF10A	drugB	0	2	48	0.3162	349	336	94	c_2	t0_1	1.04174
MCF10A	drugB	0	2	48	1	312	336	94	c_2	t0_1	0.920953
MCF10A	drugB	0	2	48	3.162	191	336	94	c_2	t0_1	0.470777
MCF10A	drugB	0	2	48	10	172	336	94	c_2	t0_1	0.389266
MCF10A	drugC	0	2	48	0.001	337	336	94	c_2	t0_1	1.00324
MCF10A	drugC	0	2	48	0.003162	340	336	94	c_2	t0_1	1.01292
MCF10A	drugC	0	2	48	0.01	304	336	94	c_2	t0_1	0.893992
MCF10A	drugC	0	2	48	0.03162	391	336	94	c_2	t0_1	1.17198
MCF10A	drugC	0	2	48	0.1	291	336	94	c_2	t0_1	0.849481
MCF10A	drugC	0	2	48	0.3162	296	336	94	c_2	t0_1	0.866706
MCF10A	drugC	0	2	48	1	232	336	94	c_2	t0_1	0.634944
MCF10A	drugC	0	2	48	3.162	223	336	94	c_2	t0_1	0.60012
MCF10A	drugC	0	2	48	10	211	336	94	c_2	t0_1	0.552676
MCF10A	drugD	0	2	48	0.001	326	336	94	c_2	t0_1	0.967387
MCF10A	drugD	0	2	48	0.003162	329	336	94	c_2	t0_1	0.977218
MCF10A	drugD	0	2	48	0.01	374	336	94	c_2	t0_1	1.12007
MCF10A	drugD	0	2	48	0.03162	283	336	94	c_2	t0_1	0.821638
MCF10A	drugD	0	2	48	0.1	200	336	94	c_2	t0_1	0.508092
MCF10A	drugD	0	2	48	0.3162	111	336	94	c_2	t0_1	0.0946744
MCF10A	drugD	0	2	48	1	123	336	94	c_2	t0_1	0.157562
MCF10A	drugD	0	2	48	3.162	123	336	94	c_2	t0_1	0.157562
MCF10A	drugD	0	2	48	10	101	336	94	c_2	t0_1	0.0398578
MCF10A	-	0	1	72	0	600	633	94	c_3	t0_1	NaN
MCF10A	-	0	1	72	0	638	633	94	c_3	t0_1	NaN
MCF10A	-	0	1	72	0	598	633	94	c_3	t0_1	NaN
MCF10A	-	0	1	72	0	662	633	94	c_3	t0_1	NaN
MCF10A	-	0	1	72	0	595	633	94	c_3	t0_1	NaN
MCF10A	-	0	1	72	0	733	633	94	c_3	t0_1	NaN
MCF10A	-	0	1	72	0	688	633	94	c_3	t0_1	NaN
MCF10A	-	0	1	72	0	632	633	94	c_3	t0_1	NaN
MCF10A	drugA	0	1	72	0.001	670	633	94	c_3	t0_1	1.04172
MCF10A	drugA	0	1	72	0.003162	564	633	94	c_3	t0_1	0.917841
MCF10A	drugA	0	1	72	0.01	582	633	94	c_3	t0_1	0.939864
MCF10A	drugA	0	1	72	0.03162	579	633	94	c_3	t0_1	0.936224
MCF10A	drugA	0	1	72	0.1	687	633	94	c_3	t0_1	1.0604
MCF10A	drugA	0	1	72	0.3162	654	633	94	c_3	t0_1	1.02386
MCF10A	drugA	0	1	72	1	479	633	94	c_3	t0_1	0.807294
MCF10A	drugA	0	1	72	3.162	294	633	94	c_3	t0_1	0.513503
MCF10A	drugA	0	1	72	10	233	633	94	c_3	t0_1	0.390846
MCF10A	drugB	0	1	72	0.001	561	633	94	c_3	t0_1	0.914127
MCF10A	drugB	0	1	72	0.003162	641	633	94	c_3	t0_1	1.00915
MCF10A	drugB	0	1	72	0.01	664	633	94	c_3	t0_1	1.03506
MCF10A	drugB	0	1	72	0.03162	568	633	94	c_3	t0_1	0.922773
MCF10A	drugB	0	1	72	0.1	610	633	94	c_3	t0_1	0.973277
MCF10A	drugB	0	1	72	0.3162	562	633	94	c_3	t0_1	0.915367
MCF10A	drugB	0	1	72	1	425	633	94	c_3	t0_1	0.730411
MCF10A	drugB	0	1	72	3.162	182	633	94	c_3	t0_1	0.271415
MCF10A	drugB	0	1	72	10	192	633	94	c_3	t0_1	0.296373
MCF10A	drugC	0	1	72	0.001	660	633	94	c_3	t0_1	1.03059
MCF10A	drugC	0	1	72	0.003162	671	633	94	c_3	t0_1	1.04283
MCF10A	drugC	0	1	72	0.01	701	633	94	c_3	t0_1	1.07556
MCF10A	drugC	0	1	72	0.03162	607	633	94	c_3	t0_1	0.969745
MCF10A	drugC	0	1	72	0.1	632	633	94	c_3	t0_1	0.998851
MCF10A	drugC	0	1	72	0.3162	415	633	94	c_3	t0_1	0.715501
MCF10A	drugC	0	1	72	1	355	633	94	c_3	t0_1	0.620848
MCF10A	drugC	0	1	72	3.162	328	633	94	c_3	t0_1	0.574913
MCF10A	drugC	0	1	72	10	376	633	94	c_3	t0_1	0.65506
MCF10A	drugD	0	1	72	0.001	632	633	94	c_3	t0_1	0.998851
MCF10A	drugD	0	1	72	0.003162	697	633	94	c_3	t0_1	1.07125
MCF10A	drugD	0	1	72	0.01	627	633	94	c_3	t0_1	0.993089
MCF10A	drugD	0	1	72	0.03162	497	633	94	c_3	t0_1	0.831688
MCF10A	drugD	0	1	72	0.1	451	633	94	c_3	t0_1	0.76816
MCF10A	drugD	0	1	72	0.3162	169	633	94	c_3	t0_1	0.237628
MCF10A	drugD	0	1	72	1	134	633	94	c_3	t0_1	0.137527
MCF10A	drugD	0	1	72	3.162	146	633	94	c_3	t0_1	0.173543
MCF10A	drugD	0	1	72	10	155	633	94	c_3	t0_1	0.199336
MCF10A	-	0	2	72	0	628	657	94	c_4	t0_1	NaN
MCF10A	-	0	2	72	0	506	657	94	c_4	t0_1	NaN
MCF10A	-	0	2	72	0	668	657	94	c_4	t0_1	NaN
MCF10A	-	0	2	72	0	729	657	94	c_4	t0_1	NaN
MCF10A	-	0	2	72	0	675	657	94	c_4	t0_1	NaN
MCF10A	-	0	2	72	0	644	657	94	c_4	t0_1	NaN
MCF10A	-	0	2	72	0	660	657	94	c_4	t0_1	NaN
MCF10A	-	0	2	72	0	657	657	94	c_4	t0_1	NaN
MCF10A	drugA	0	2	72	0.001	696	657	94	c_4	t0_1	1.04154
MCF10A	drugA	0	2	72	0.003162	648	657	94	c_4	t0_1	0.99019
MCF10A	drugA	0	2	72	0.01	575	657	94	c_4	t0_1	0.907174
MCF10A	drugA	0	2	72	0.03162	704	657	94	c_4	t0_1	1.04987
MCF10A	drugA	0	2	72	0.1	595	657	94	c_4	t0_1	0.930562
MCF10A	drugA	0	2	72	0.3162	529	657	94	c_4	t0_1	0.851319
MCF10A	drugA	0	2	72	1	610	657	94	c_4	t0_1	0.947774
MCF10A	drugA	0	2	72	3.162	377	657	94	c_4	t0_1	0.64073
MCF10A	drugA	0	2	72	10	232	657	94	c_4	t0_1	0.379974
MCF10A	drugB	0	2	72	0.001	633	657	94	c_4	t0_1	0.973643
MCF10A	drugB	0	2	72	0.003162	538	657	94	c_4	t0_1	0.862486
MCF10A	drugB	0	2	72	0.01	532	657	94	c_4	t0_1	0.855055
MCF10A	drugB	0	2	72	0.03162	658	657	94	c_4	t0_1	1.00108
MCF10A	drugB	0	2	72	0.1	505	657	94	c_4	t0_1	0.820929
MCF10A	drugB	0	2	72	0.3162	458	657	94	c_4	t0_1	0.758607
MCF10A	drugB	0	2	72	1	332	657	94	c_4	t0_1	0.568043
MCF10A	drugB	0	2	72	3.162	173	657	94	c_4	t0_1	0.24291
MCF10A	drugB	0	2	72	10	198	657	94	c_4	t0_1	0.304177
MCF10A	drugC	0	2	72	0.001	509	657	94	c_4	t0_1	0.826057
MCF10A	drugC	0	2	72	0.003162	582	657	94	c_4	t0_1	0.915419
MCF10A	drugC	0	2	72	0.01	644	657	94	c_4	t0_1	0.985802
MCF10A	drugC	0	2	72	0.03162	594	657	94	c_4	t0_1	0.929405
MCF10A	drugC	0	2	72	0.1	551	657	94	c_4	t0_1	0.878406
MCF10A	drugC	0	2	72	0.3162	481	657	94	c_4	t0_1	0.789594
MCF10A	drugC	0	2	72	1	385	657	94	c_4	t0_1	0.653058
MCF10A	drugC	0	2	72	3.162	341	657	94	c_4	t0_1	0.583066
MCF10A	drugC	0	2	72	10	340	657	94	c_4	t0_1	0.581409
MCF10A	drugD	0	2	72	0.001	642	657	94	c_4	t0_1	0.983601
MCF10A	drugD	0	2	72	0.003162	563	657	94	c_4	t0_1	0.892889
MCF10A	drugD	0	2	72	0.01	542	657	94	c_4	t0_1	0.867411
MCF10A	drugD	0	2	72	0.03162	601	657	94	c_4	t0_1	0.93748
MCF10A	drugD	0	2	72	0.1	374	657	94	c_4	t0_1	0.636063
MCF10A	drugD	0	2	72	0.3162	190	657	94	c_4	t0_1	0.285142
MCF10A	drugD	0	2	72	1	128	657	94	c_4	t0_1	0.116345
MCF10A	drugD	0	2	72	3.162	132	657	94	c_4	t0_1	0.128658
MCF10A	drugD	0	2	72	10	117	657	94	c_4	t0_1	0.0811522
MCF10A	-	1	NaN	0	0	71	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	111	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	122	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	131	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	102	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	116	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	131	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	66	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	73	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	102	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	95	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	85	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	104	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	118	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	85	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	75	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	81	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	108	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	102	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	NaN	0	0	109	NaN	100	c_4	t0_2	NaN
MCF10A	-	1	1	48	0	296	263	100	c_5	t0_2	NaN
MCF10A	-	1	1	48	0	260	263	100	c_5	t0_2	NaN
MCF10A	-	1	1	48	0	230	263	100	c_5	t0_2	NaN
MCF10A	-	1	1	48	0	263	263	100	c_5	t0_2	NaN
MCF10A	-	1	1	48	0	230	263	100	c_5	t0_2	NaN
MCF10A	-	1	1	48	0	263	263	100	c_5	t0_2	NaN
MCF10A	-	1	1	48	0	269	263	100	c_5	t0_2	NaN
MCF10A	-	1	1	48	0	290	263	100	c_5	t0_2	NaN
MCF10A	drugA	1	1	48	0.001	247	263	100	c_5	t0_2	0.912012
MCF10A	drugA	1	1	48	0.003162	289	263	100	c_5	t0_2	1.13982
MCF10A	drugA	1	1	48	0.01	282	263	100	c_5	t0_2	1.10254
MCF10A	drugA	1	1	48	0.03162	264	263	100	c_5	t0_2	1.00545
MCF10A	drugA	1	1	48	0.1	310	263	100	c_5	t0_2	1.25017
MCF10A	drugA	1	1	48	0.3162	307	263	100	c_5	t0_2	1.23454
MCF10A	drugA	1	1	48	1	206	263	100	c_5	t0_2	0.678743
MCF10A	drugA	1	1	48	3.162	176	263	100	c_5	t0_2	0.499639
MCF10A	drugA	1	1	48	10	156	263	100	c_5	t0_2	0.375417
MCF10A	drugB	1	1	48	0.001	240	263	100	c_5	t0_2	0.873012
MCF10A	drugB	1	1	48	0.003162	271	263	100	c_5	t0_2	1.04342
MCF10A	drugB	1	1	48	0.01	297	263	100	c_5	t0_2	1.18212
MCF10A	drugB	1	1	48	0.03162	264	263	100	c_5	t0_2	1.00545
MCF10A	drugB	1	1	48	0.1	247	263	100	c_5	t0_2	0.912012
MCF10A	drugB	1	1	48	0.3162	250	263	100	c_5	t0_2	0.92863
MCF10A	drugB	1	1	48	1	190	263	100	c_5	t0_2	0.584216
MCF10A	drugB	1	1	48	3.162	140	263	100	c_5	t0_2	0.27276
MCF10A	drugB	1	1	48	10	124	263	100	c_5	t0_2	0.166718
MCF10A	drugC	1	1	48	0.001	284	263	100	c_5	t0_2	1.11322
MCF10A	drugC	1	1	48	0.003162	290	263	100	c_5	t0_2	1.14513
MCF10A	drugC	1	1	48	0.01	296	263	100	c_5	t0_2	1.17685
MCF10A	drugC	1	1	48	0.03162	260	263	100	c_5	t0_2	0.98362
MCF10A	drugC	1	1	48	0.1	265	263	100	c_5	t0_2	1.01089
MCF10A	drugC	1	1	48	0.3162	221	263	100	c_5	t0_2	0.765489
MCF10A	drugC	1	1	48	1	213	263	100	c_5	t0_2	0.71944
MCF10A	drugC	1	1	48	3.162	194	263	100	c_5	t0_2	0.608052
MCF10A	drugC	1	1	48	10	209	263	100	c_5	t0_2	0.696232
MCF10A	drugD	1	1	48	0.001	230	263	100	c_5	t0_2	0.816734
MCF10A	drugD	1	1	48	0.003162	273	263	100	c_5	t0_2	1.05422
MCF10A	drugD	1	1	48	0.01	296	263	100	c_5	t0_2	1.17685
MCF10A	drugD	1	1	48	0.03162	265	263	100	c_5	t0_2	1.01089
MCF10A	drugD	1	1	48	0.1	215	263	100	c_5	t0_2	0.730997
MCF10A	drugD	1	1	48	0.3162	144	263	100	c_5	t0_2	0.298723
MCF10A	drugD	1	1	48	1	102	263	100	c_5	t0_2	0.014296
MCF10A	drugD	1	1	48	3.162	126	263	100	c_5	t0_2	0.180177
MCF10A	drugD	1	1	48	10	128	263	100	c_5	t0_2	0.193575
MCF10A	-	1	2	48	0	264	251	100	c_6	t0_2	NaN
MCF10A	-	1	2	48	0	248	251	100	c_6	t0_2	NaN
MCF10A	-	1	2	48	0	293	251	100	c_6	t0_2	NaN
MCF10A	-	1	2	48	0	212	251	100	c_6	t0_2	NaN
MCF10A	-	1	2	48	0	252	251	100	c_6	t0_2	NaN
MCF10A	-	1	2	48	0	241	251	100	c_6	t0_2	NaN
MCF10A	-	1	2	48	0	227	251	100	c_6	t0_2	NaN
MCF10A	-	1	2	48	0	282	251	100	c_6	t0_2	NaN
MCF10A	drugA	1	2	48	0.001	258	251	100	c_6	t0_2	1.04187
MCF10A	drugA	1	2	48	0.003162	257	251	100	c_6	t0_2	1.0359
MCF10A	drugA	1	2	48	0.01	239	251	100	c_6	t0_2	0.927548
MCF10A	drugA	1	2	48	0.03162	264	251	100	c_6	t0_2	1.07753
MCF10A	drugA	1	2	48	0.1	240	251	100	c_6	t0_2	0.93362
MCF10A	drugA	1	2	48	0.3162	235	251	100	c_6	t0_2	0.9032
MCF10A	drugA	1	2	48	1	247	251	100	c_6	t0_2	0.975946
MCF10A	drugA	1	2	48	3.162	183	251	100	c_6	t0_2	0.576432
MCF10A	drugA	1	2	48	10	163	251	100	c_6	t0_2	0.444832
MCF10A	drugB	1	2	48	0.001	236	251	100	c_6	t0_2	0.909296
MCF10A	drugB	1	2	48	0.003162	281	251	100	c_6	t0_2	1.17751
MCF10A	drugB	1	2	48	0.01	231	251	100	c_6	t0_2	0.878749
MCF10A	drugB	1	2	48	0.03162	264	251	100	c_6	t0_2	1.07753
MCF10A	drugB	1	2	48	0.1	262	251	100	c_6	t0_2	1.06567
MCF10A	drugB	1	2	48	0.3162	250	251	100	c_6	t0_2	0.993996
MCF10A	drugB	1	2	48	1	207	251	100	c_6	t0_2	0.729759
MCF10A	drugB	1	2	48	3.162	133	251	100	c_6	t0_2	0.239606
MCF10A	drugB	1	2	48	10	158	251	100	c_6	t0_2	0.411323
MCF10A	drugC	1	2	48	0.001	305	251	100	c_6	t0_2	1.31616
MCF10A	drugC	1	2	48	0.003162	282	251	100	c_6	t0_2	1.18335
MCF10A	drugC	1	2	48	0.01	265	251	100	c_6	t0_2	1.08346
MCF10A	drugC	1	2	48	0.03162	302	251	100	c_6	t0_2	1.29898
MCF10A	drugC	1	2	48	0.1	252	251	100	c_6	t0_2	1.006
MCF10A	drugC	1	2	48	0.3162	215	251	100	c_6	t0_2	0.779873
MCF10A	drugC	1	2	48	1	221	251	100	c_6	t0_2	0.817158
MCF10A	drugC	1	2	48	3.162	187	251	100	c_6	t0_2	0.602316
MCF10A	drugC	1	2	48	10	211	251	100	c_6	t0_2	0.754875
MCF10A	drugD	1	2	48	0.001	293	251	100	c_6	t0_2	1.24719
MCF10A	drugD	1	2	48	0.003162	212	251	100	c_6	t0_2	0.761135
MCF10A	drugD	1	2	48	0.01	227	251	100	c_6	t0_2	0.854193
MCF10A	drugD	1	2	48	0.03162	290	251	100	c_6	t0_2	1.22984
MCF10A	drugD	1	2	48	0.1	203	251	100	c_6	t0_2	0.704523
MCF10A	drugD	1	2	48	0.3162	124	251	100	c_6	t0_2	0.175883
MCF10A	drugD	1	2	48	1	132	251	100	c_6	t0_2	0.23258
MCF10A	drugD	1	2	48	3.162	103	251	100	c_6	t0_2	0.0225131
MCF10A	drugD	1	2	48	10	111	251	100	c_6	t0_2	0.0817746
MCF10A	-	1	1	72	0	450	420	100	c_7	t0_2	NaN
MCF10A	-	1	1	72	0	371	420	100	c_7	t0_2	NaN
MCF10A	-	1	1	72	0	490	420	100	c_7	t0_2	NaN
MCF10A	-	1	1	72	0	466	420	100	c_7	t0_2	NaN
MCF10A	-	1	1	72	0	422	420	100	c_7	t0_2	NaN
MCF10A	-	1	1	72	0	394	420	100	c_7	t0_2	NaN
MCF10A	-	1	1	72	0	415	420	100	c_7	t0_2	NaN
MCF10A	-	1	1	72	0	392	420	100	c_7	t0_2	NaN
MCF10A	drugA	1	1	72	0.001	455	420	100	c_7	t0_2	1.07884
MCF10A	drugA	1	1	72	0.003162	418	420	100	c_7	t0_2	0.995394
MCF10A	drugA	1	1	72	0.01	485	420	100	c_7	t0_2	1.14395
MCF10A	drugA	1	1	72	0.03162	450	420	100	c_7	t0_2	1.06777
MCF10A	drugA	1	1	72	0.1	357	420	100	c_7	t0_2	0.84901
MCF10A	drugA	1	1	72	0.3162	454	420	100	c_7	t0_2	1.07663
MCF10A	drugA	1	1	72	1	393	420	100	c_7	t0_2	0.936833
MCF10A	drugA	1	1	72	3.162	265	420	100	c_7	t0_2	0.601136
MCF10A	drugA	1	1	72	10	196	420	100	c_7	t0_2	0.384076
MCF10A	drugB	1	1	72	0.001	358	420	100	c_7	t0_2	0.85151
MCF10A	drugB	1	1	72	0.003162	387	420	100	c_7	t0_2	0.922494
MCF10A	drugB	1	1	72	0.01	396	420	100	c_7	t0_2	0.94396
MCF10A	drugB	1	1	72	0.03162	389	420	100	c_7	t0_2	0.927286
MCF10A	drugB	1	1	72	0.1	418	420	100	c_7	t0_2	0.995394
MCF10A	drugB	1	1	72	0.3162	409	420	100	c_7	t0_2	0.974526
MCF10A	drugB	1	1	72	1	373	420	100	c_7	t0_2	0.888582
MCF10A	drugB	1	1	72	3.162	209	420	100	c_7	t0_2	0.42768
MCF10A	drugB	1	1	72	10	140	420	100	c_7	t0_2	0.176468
MCF10A	drugC	1	1	72	0.001	457	420	100	c_7	t0_2	1.08324
MCF10A	drugC	1	1	72	0.003162	429	420	100	c_7	t0_2	1.02059
MCF10A	drugC	1	1	72	0.01	461	420	100	c_7	t0_2	1.09203
MCF10A	drugC	1	1	72	0.03162	455	420	100	c_7	t0_2	1.07884
MCF10A	drugC	1	1	72	0.1	419	420	100	c_7	t0_2	0.997699
MCF10A	drugC	1	1	72	0.3162	332	420	100	c_7	t0_2	0.785296
MCF10A	drugC	1	1	72	1	258	420	100	c_7	t0_2	0.580566
MCF10A	drugC	1	1	72	3.162	337	420	100	c_7	t0_2	0.798232
MCF10A	drugC	1	1	72	10	319	420	100	c_7	t0_2	0.751182
MCF10A	drugD	1	1	72	0.001	380	420	100	c_7	t0_2	0.905619
MCF10A	drugD	1	1	72	0.003162	515	420	100	c_7	t0_2	1.20701
MCF10A	drugD	1	1	72	0.01	399	420	100	c_7	t0_2	0.951059
MCF10A	drugD	1	1	72	0.03162	342	420	100	c_7	t0_2	0.811069
MCF10A	drugD	1	1	72	0.1	249	420	100	c_7	t0_2	0.553691
MCF10A	drugD	1	1	72	0.3162	160	420	100	c_7	t0_2	0.254845
MCF10A	drugD	1	1	72	1	134	420	100	c_7	t0_2	0.151839
MCF10A	drugD	1	1	72	3.162	108	420	100	c_7	t0_2	0.0378718
MCF10A	drugD	1	1	72	10	121	420	100	c_7	t0_2	0.0964414
MCF10A	-	1	2	72	0	483	455	100	c_8	t0_2	NaN
MCF10A	-	1	2	72	0	453	455	100	c_8	t0_2	NaN
MCF10A	-	1	2	72	0	400	455	100	c_8	t0_2	NaN
MCF10A	-	1	2	72	0	498	455	100	c_8	t0_2	NaN
MCF10A	-	1	2	72	0	356	455	100	c_8	t0_2	NaN
MCF10A	-	1	2	72	0	449	455	100	c_8	t0_2	NaN
MCF10A	-	1	2	72	0	435	455	100	c_8	t0_2	NaN
MCF10A	-	1	2	72	0	503	455	100	c_8	t0_2	NaN
