	cell_line	perturbation	replicate	time	cell_count	time0_tag	ctrl_tag
1266	BT20	1	2	72	1163	t0_6	c_27
1267	BT20	1	2	72	1053	t0_6	c_27
1268	BT20	1	2	72	1187	t0_6	c_27
1269	BT20	1	2	72	1103	t0_6	c_27
1270	BT20	1	2	72	1043	t0_6	c_27
1271	BT20	1	2	72	1232	t0_6	c_27
1308	BT20	1	3	72	1154	t0_6	c_28
1309	BT20	1	3	72	1091	t0_6	c_28
1310	BT20	1	3	72	1150	t0_6	c_28
1311	BT20	1	3	72	1112	t0_6	c_28
1312	BT20	1	3	72	1142	t0_6	c_28
1313	BT20	1	3	72	1139	t0_6	c_28
1314	BT20	1	3	72	1141	t0_6	c_28
1315	BT20	1	3	72	1171	t0_6	c_28
